sample,frame,f1_P00,f1_P10,f1_P01,f1_P11,E_A6,E_A7,I_AB
BaiZhang,0033,0.959257,0.933984,0.964854,0.933984,-0.028071,0.002798,-0.005597
BaiZhang,0034,0.955657,0.938462,0.955657,0.938462,-0.017195,-0.0,0.0
BaiZhang,0035,0.960533,0.950473,0.962888,0.950473,-0.011237,0.001178,-0.002355
BaiZhang,0036,0.962291,0.944324,0.962757,0.944324,-0.0182,0.000233,-0.000466
BaiZhang,0037,0.953557,0.953557,0.954942,0.953557,-0.000692,0.000692,-0.001385
DouBanLv2,0037,0.98554,0.98554,0.98554,0.98554,0.0,0.0,0.0
DouBanLv2,0038,0.989847,0.989847,0.989847,0.989847,0.0,0.0,0.0
DouBanLv2,0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DouBanLv2,0040,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DouBanLv2,0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0
