challenge_id,split,sample,sequence,frame,image_path,difficulty_rank,difficulty_score,primary_difficulty,secondary_difficulty,selection_reason,is_gt_target,context_start,context_end,gt_status,is_pilot_gt10,gt_mask_path
HARD-BaiZhang-0033,DEV,BaiZhang,BaiZhang,0033,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/BaiZhang/0033.jpg,,,D1_neighbor_plant_adhesion,D11_cluttered_background,user_manual_selection (multi-plant visible in background),yes,0028,0038,annotated,yes,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十六_HardCase_GT构建与锁定/GT_potted_clean_challenge/BaiZhang/mask_potted_clean_0033.png
HARD-BaiZhang-0034,DEV,BaiZhang,BaiZhang,0034,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/BaiZhang/0034.jpg,,,D1_neighbor_plant_adhesion,D11_cluttered_background,user_manual_selection (multi-plant visible in background),yes,0029,0039,annotated,yes,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十六_HardCase_GT构建与锁定/GT_potted_clean_challenge/BaiZhang/mask_potted_clean_0034.png
HARD-BaiZhang-0035,DEV,BaiZhang,BaiZhang,0035,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/BaiZhang/0035.jpg,,,D1_neighbor_plant_adhesion,D11_cluttered_background,user_manual_selection (multi-plant visible in background),yes,0030,0040,annotated,yes,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十六_HardCase_GT构建与锁定/GT_potted_clean_challenge/BaiZhang/mask_potted_clean_0035.png
HARD-BaiZhang-0036,DEV,BaiZhang,BaiZhang,0036,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/BaiZhang/0036.jpg,,,D1_neighbor_plant_adhesion,D11_cluttered_background,user_manual_selection (multi-plant visible in background),yes,0031,0041,annotated,yes,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十六_HardCase_GT构建与锁定/GT_potted_clean_challenge/BaiZhang/mask_potted_clean_0036.png
HARD-BaiZhang-0037,DEV,BaiZhang,BaiZhang,0037,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/BaiZhang/0037.jpg,,,D1_neighbor_plant_adhesion,D11_cluttered_background,user_manual_selection (multi-plant visible in background),yes,0032,0042,annotated,yes,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十六_HardCase_GT构建与锁定/GT_potted_clean_challenge/BaiZhang/mask_potted_clean_0037.png
HARD-DouBanLv2-0037,DEV,DouBanLv2,DouBanLv2,0037,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/DouBanLv2/0037.jpg,,,D1_neighbor_plant_adhesion,D11_cluttered_background,user_manual_selection (multi-plant visible in background),yes,0032,0042,annotated,yes,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十六_HardCase_GT构建与锁定/GT_potted_clean_challenge/DouBanLv2/mask_potted_clean_0037.png
HARD-DouBanLv2-0038,DEV,DouBanLv2,DouBanLv2,0038,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/DouBanLv2/0038.jpg,,,D1_neighbor_plant_adhesion,D11_cluttered_background,user_manual_selection (multi-plant visible in background),yes,0033,0043,annotated,yes,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十六_HardCase_GT构建与锁定/GT_potted_clean_challenge/DouBanLv2/mask_potted_clean_0038.png
HARD-DouBanLv2-0039,DEV,DouBanLv2,DouBanLv2,0039,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/DouBanLv2/0039.jpg,,,D1_neighbor_plant_adhesion,D11_cluttered_background,user_manual_selection (multi-plant visible in background),yes,0034,0044,annotated,yes,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十六_HardCase_GT构建与锁定/GT_potted_clean_challenge/DouBanLv2/mask_potted_clean_0039.png
HARD-DouBanLv2-0040,DEV,DouBanLv2,DouBanLv2,0040,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/DouBanLv2/0040.jpg,,,D1_neighbor_plant_adhesion,D11_cluttered_background,user_manual_selection (multi-plant visible in background),yes,0035,0045,annotated,yes,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十六_HardCase_GT构建与锁定/GT_potted_clean_challenge/DouBanLv2/mask_potted_clean_0040.png
HARD-DouBanLv2-0041,DEV,DouBanLv2,DouBanLv2,0041,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/DouBanLv2/0041.jpg,,,D1_neighbor_plant_adhesion,D11_cluttered_background,user_manual_selection (multi-plant visible in background),yes,0036,0046,annotated,yes,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十六_HardCase_GT构建与锁定/GT_potted_clean_challenge/DouBanLv2/mask_potted_clean_0041.png
