sample,frame,selected_f1,raw_oracle_f1,raw_oracle_instance,postcleanup_oracle_f1,finalcandidate_oracle_f1,selection_regret,n_raw_instances,selected_instance_id,selected_prompt
BaiZhang,0033,0.959257,0.959257,2,0.959257,0.959257,0.0,3,2,A1s
BaiZhang,0034,0.955657,0.955657,2,0.955657,0.955657,0.0,4,2,A1s
BaiZhang,0035,0.960533,0.960533,3,0.960533,0.960533,0.0,4,3,A1s
BaiZhang,0036,0.962291,0.962291,0,0.962291,0.962291,0.0,1,0,A1s
BaiZhang,0037,0.953557,0.953557,1,0.953557,0.953557,0.0,2,1,A1s
DouBanLv2,0037,0.98554,0.98554,0,0.98554,0.98554,0.0,1,0,A1s
DouBanLv2,0038,0.989847,0.989847,0,0.989847,0.989847,0.0,1,0,A1s
DouBanLv2,0039,0.0,0.98666,1,0.98666,0.98666,0.98666,2,0,A1s
DouBanLv2,0040,0.0,0.98816,0,0.98816,0.98816,0.98816,3,1,A1s
DouBanLv2,0041,0.0,0.986485,3,0.986485,0.986485,0.986485,9,0,A1s
