sample,frame,stage_raw_f1,stage_selected_f1,stage_final_f1,stage_a5c_f1,raw_to_selected_identity,selected_to_final_identity,oracle_used_for_trace,selected_is_oracle,note
BaiZhang,0033,0.959257,0.959257,0.959257,0.959257,True,True,2,True,cleanup identity verified: 选择后==最终==A5c in P00 per_instance mode
BaiZhang,0034,0.955657,0.955657,0.955657,0.955657,True,True,2,True,cleanup identity verified: 选择后==最终==A5c in P00 per_instance mode
BaiZhang,0035,0.960533,0.960533,0.960533,0.960533,True,True,3,True,cleanup identity verified: 选择后==最终==A5c in P00 per_instance mode
BaiZhang,0036,0.962291,0.962291,0.962291,0.962291,True,True,0,True,cleanup identity verified: 选择后==最终==A5c in P00 per_instance mode
BaiZhang,0037,0.953557,0.953557,0.953557,0.953557,True,True,1,True,cleanup identity verified: 选择后==最终==A5c in P00 per_instance mode
DouBanLv2,0037,0.98554,0.98554,0.98554,0.98554,True,True,0,True,cleanup identity verified: 选择后==最终==A5c in P00 per_instance mode
DouBanLv2,0038,0.989847,0.989847,0.989847,0.989847,True,True,0,True,cleanup identity verified: 选择后==最终==A5c in P00 per_instance mode
DouBanLv2,0039,0.98666,0.0,0.0,0.0,False,True,1,False,cleanup identity verified: 选择后==最终==A5c in P00 per_instance mode
DouBanLv2,0040,0.98816,0.0,0.0,0.0,False,True,0,False,cleanup identity verified: 选择后==最终==A5c in P00 per_instance mode
DouBanLv2,0041,0.986485,0.0,0.0,0.0,False,True,3,False,cleanup identity verified: 选择后==最终==A5c in P00 per_instance mode
