policy,sample,frame,baseline_selected,new_selected,changed,baseline_F1,new_F1,delta_F1
R0,CaoMei1,0000,CaoMei1_0000_00,CaoMei1_0000_00,0,0.9839,0.9839,0.0
R0,CaoMei1,0025,CaoMei1_0025_00,CaoMei1_0025_00,0,0.9793,0.9793,0.0
R0,CaoMei1,0050,CaoMei1_0050_00,CaoMei1_0050_00,0,0.9761,0.9761,0.0
R0,CaoMei1,0075,CaoMei1_0075_00,CaoMei1_0075_00,0,0.985,0.985,0.0
R0,CaoMei1,0100,CaoMei1_0100_00,CaoMei1_0100_00,0,0.9885,0.9885,0.0
R0,ChangShouHua2,0000,ChangShouHua2_0000_00,ChangShouHua2_0000_00,0,0.987,0.987,0.0
R0,ChangShouHua2,0025,ChangShouHua2_0025_00,ChangShouHua2_0025_00,0,0.9833,0.9833,0.0
R0,ChangShouHua2,0050,ChangShouHua2_0050_00,ChangShouHua2_0050_00,0,0.9781,0.9781,0.0
R0,ChangShouHua2,0075,ChangShouHua2_0075_00,ChangShouHua2_0075_00,0,0.9856,0.9856,0.0
R0,ChangShouHua2,0100,ChangShouHua2_0100_00,ChangShouHua2_0100_00,0,0.9815,0.9815,0.0
R0,DouBanLv1,0000,DouBanLv1_0000_00,DouBanLv1_0000_00,0,0.9891,0.9891,0.0
R0,DouBanLv1,0025,DouBanLv1_0025_00,DouBanLv1_0025_00,0,0.9829,0.9829,0.0
R0,DouBanLv1,0050,DouBanLv1_0050_00,DouBanLv1_0050_00,0,0.9852,0.9852,0.0
R0,DouBanLv1,0075,DouBanLv1_0075_00,DouBanLv1_0075_00,0,0.984,0.984,0.0
R0,DouBanLv1,0100,DouBanLv1_0100_00,DouBanLv1_0100_00,0,0.9849,0.9849,0.0
R0,KongQueZhuYu,0000,KongQueZhuYu_0000_01,KongQueZhuYu_0000_01,0,0.9811,0.9811,0.0
R0,KongQueZhuYu,0025,KongQueZhuYu_0025_00,KongQueZhuYu_0025_00,0,0.9859,0.9859,0.0
R0,KongQueZhuYu,0050,KongQueZhuYu_0050_00,KongQueZhuYu_0050_00,0,0.9836,0.9836,0.0
R0,KongQueZhuYu,0075,KongQueZhuYu_0075_00,KongQueZhuYu_0075_00,0,0.982,0.982,0.0
R0,KongQueZhuYu,0100,KongQueZhuYu_0100_03,KongQueZhuYu_0100_03,0,0.9859,0.9859,0.0
R0,XianKeLai1,0000,XianKeLai1_0000_00,XianKeLai1_0000_00,0,0.9806,0.9806,0.0
R1,CaoMei1,0000,CaoMei1_0000_00,CaoMei1_0000_00,0,0.9839,0.9839,0.0
R1,CaoMei1,0025,CaoMei1_0025_00,CaoMei1_0025_00,0,0.9793,0.9793,0.0
R1,CaoMei1,0050,CaoMei1_0050_00,CaoMei1_0050_00,0,0.9761,0.9761,0.0
R1,CaoMei1,0075,CaoMei1_0075_00,CaoMei1_0075_00,0,0.985,0.985,0.0
R1,CaoMei1,0100,CaoMei1_0100_00,CaoMei1_0100_00,0,0.9885,0.9885,0.0
R1,ChangShouHua2,0000,ChangShouHua2_0000_00,ChangShouHua2_0000_00,0,0.987,0.987,0.0
R1,ChangShouHua2,0025,ChangShouHua2_0025_00,ChangShouHua2_0025_00,0,0.9833,0.9833,0.0
R1,ChangShouHua2,0050,ChangShouHua2_0050_00,ChangShouHua2_0050_00,0,0.9781,0.9781,0.0
R1,ChangShouHua2,0075,ChangShouHua2_0075_00,ChangShouHua2_0075_00,0,0.9856,0.9856,0.0
R1,ChangShouHua2,0100,ChangShouHua2_0100_00,ChangShouHua2_0100_00,0,0.9815,0.9815,0.0
R1,DouBanLv1,0000,DouBanLv1_0000_00,DouBanLv1_0000_00,0,0.9891,0.9891,0.0
R1,DouBanLv1,0025,DouBanLv1_0025_00,DouBanLv1_0025_00,0,0.9829,0.9829,0.0
R1,DouBanLv1,0050,DouBanLv1_0050_00,DouBanLv1_0050_00,0,0.9852,0.9852,0.0
R1,DouBanLv1,0075,DouBanLv1_0075_00,DouBanLv1_0075_00,0,0.984,0.984,0.0
R1,DouBanLv1,0100,DouBanLv1_0100_00,DouBanLv1_0100_00,0,0.9849,0.9849,0.0
R1,KongQueZhuYu,0000,KongQueZhuYu_0000_01,KongQueZhuYu_0000_01,0,0.9811,0.9811,0.0
R1,KongQueZhuYu,0025,KongQueZhuYu_0025_00,KongQueZhuYu_0025_00,0,0.9859,0.9859,0.0
