policy,source,sample,frame,baseline_selected,new_selected,changed,baseline_F1,new_F1,delta_F1,oracle_F1,regret
R0,DEV10,BaiZhang,0033,BaiZhang_0033_02,BaiZhang_0033_02,0,0.9593,0.9593,0.0,0.9593,0.0
R0,DEV10,BaiZhang,0034,BaiZhang_0034_02,BaiZhang_0034_02,0,0.9557,0.9557,0.0,0.9557,0.0
R0,DEV10,BaiZhang,0035,BaiZhang_0035_03,BaiZhang_0035_03,0,0.9605,0.9605,0.0,0.9605,0.0
R0,DEV10,BaiZhang,0036,BaiZhang_0036_00,BaiZhang_0036_00,0,0.9623,0.9623,0.0,0.9623,0.0
R0,DEV10,BaiZhang,0037,BaiZhang_0037_01,BaiZhang_0037_01,0,0.9536,0.9536,0.0,0.9536,0.0
R0,DEV10,DouBanLv2,0037,DouBanLv2_0037_00,DouBanLv2_0037_00,0,0.9855,0.9855,0.0,0.9855,0.0
R0,DEV10,DouBanLv2,0038,DouBanLv2_0038_00,DouBanLv2_0038_00,0,0.9898,0.9898,0.0,0.9898,0.0
R0,DEV10,DouBanLv2,0039,DouBanLv2_0039_00,DouBanLv2_0039_00,0,0.0,0.0,0.0,0.9867,0.98666
R0,DEV10,DouBanLv2,0040,DouBanLv2_0040_01,DouBanLv2_0040_01,0,0.0,0.0,0.0,0.9882,0.98816
R0,DEV10,DouBanLv2,0041,DouBanLv2_0041_00,DouBanLv2_0041_00,0,0.0,0.0,0.0,0.9865,0.986485
R0,Easy21,CaoMei1,0000,CaoMei1_0000_00,CaoMei1_0000_00,0,0.9839,0.9839,0.0,0.9839,0.0
R0,Easy21,CaoMei1,0025,CaoMei1_0025_00,CaoMei1_0025_00,0,0.9793,0.9793,0.0,0.9793,0.0
R0,Easy21,CaoMei1,0050,CaoMei1_0050_00,CaoMei1_0050_00,0,0.9761,0.9761,0.0,0.9761,0.0
R0,Easy21,CaoMei1,0075,CaoMei1_0075_00,CaoMei1_0075_00,0,0.985,0.985,0.0,0.985,0.0
R0,Easy21,CaoMei1,0100,CaoMei1_0100_00,CaoMei1_0100_00,0,0.9885,0.9885,0.0,0.9885,0.0
R0,Easy21,ChangShouHua2,0000,ChangShouHua2_0000_00,ChangShouHua2_0000_00,0,0.987,0.987,0.0,0.987,0.0
R0,Easy21,ChangShouHua2,0025,ChangShouHua2_0025_00,ChangShouHua2_0025_00,0,0.9833,0.9833,0.0,0.9833,0.0
R0,Easy21,ChangShouHua2,0050,ChangShouHua2_0050_00,ChangShouHua2_0050_00,0,0.9781,0.9781,0.0,0.9781,0.0
R0,Easy21,ChangShouHua2,0075,ChangShouHua2_0075_00,ChangShouHua2_0075_00,0,0.9856,0.9856,0.0,0.9856,0.0
R0,Easy21,ChangShouHua2,0100,ChangShouHua2_0100_00,ChangShouHua2_0100_00,0,0.9815,0.9815,0.0,0.9815,0.0
R0,Easy21,DouBanLv1,0000,DouBanLv1_0000_00,DouBanLv1_0000_00,0,0.9891,0.9891,0.0,0.9891,0.0
R0,Easy21,DouBanLv1,0025,DouBanLv1_0025_00,DouBanLv1_0025_00,0,0.9829,0.9829,0.0,0.9829,0.0
R0,Easy21,DouBanLv1,0050,DouBanLv1_0050_00,DouBanLv1_0050_00,0,0.9852,0.9852,0.0,0.9852,0.0
R0,Easy21,DouBanLv1,0075,DouBanLv1_0075_00,DouBanLv1_0075_00,0,0.984,0.984,0.0,0.984,0.0
R0,Easy21,DouBanLv1,0100,DouBanLv1_0100_00,DouBanLv1_0100_00,0,0.9849,0.9849,0.0,0.9849,0.0
R0,Easy21,KongQueZhuYu,0000,KongQueZhuYu_0000_01,KongQueZhuYu_0000_01,0,0.9811,0.9811,0.0,0.9811,0.0
R0,Easy21,KongQueZhuYu,0025,KongQueZhuYu_0025_00,KongQueZhuYu_0025_00,0,0.9859,0.9859,0.0,0.9859,0.0
R0,Easy21,KongQueZhuYu,0050,KongQueZhuYu_0050_00,KongQueZhuYu_0050_00,0,0.9836,0.9836,0.0,0.9836,0.0
R0,Easy21,KongQueZhuYu,0075,KongQueZhuYu_0075_00,KongQueZhuYu_0075_00,0,0.982,0.982,0.0,0.982,0.0
R0,Easy21,KongQueZhuYu,0100,KongQueZhuYu_0100_03,KongQueZhuYu_0100_03,0,0.9859,0.9859,0.0,0.9859,0.0
R0,Easy21,XianKeLai1,0000,XianKeLai1_0000_00,XianKeLai1_0000_00,0,0.9806,0.9806,0.0,0.9806,0.0
R1,DEV10,BaiZhang,0033,BaiZhang_0033_02,BaiZhang_0033_02,0,0.9593,0.9593,0.0,0.9593,0.0
R1,DEV10,BaiZhang,0034,BaiZhang_0034_02,BaiZhang_0034_02,0,0.9557,0.9557,0.0,0.9557,0.0
R1,DEV10,BaiZhang,0035,BaiZhang_0035_03,BaiZhang_0035_03,0,0.9605,0.9605,0.0,0.9605,0.0
R1,DEV10,BaiZhang,0036,BaiZhang_0036_00,BaiZhang_0036_00,0,0.9623,0.9623,0.0,0.9623,0.0
R1,DEV10,BaiZhang,0037,BaiZhang_0037_01,BaiZhang_0037_01,0,0.9536,0.9536,0.0,0.9536,0.0
R1,DEV10,DouBanLv2,0037,DouBanLv2_0037_00,DouBanLv2_0037_00,0,0.9855,0.9855,0.0,0.9855,0.0
R1,DEV10,DouBanLv2,0038,DouBanLv2_0038_00,DouBanLv2_0038_00,0,0.9898,0.9898,0.0,0.9898,0.0
R1,DEV10,DouBanLv2,0039,DouBanLv2_0039_00,DouBanLv2_0039_01,1,0.0,0.9867,0.98666,0.9867,0.0
R1,DEV10,DouBanLv2,0040,DouBanLv2_0040_01,DouBanLv2_0040_00,1,0.0,0.9882,0.98816,0.9882,0.0
R1,DEV10,DouBanLv2,0041,DouBanLv2_0041_00,DouBanLv2_0041_03,1,0.0,0.9865,0.986485,0.9865,0.0
R1,Easy21,CaoMei1,0000,CaoMei1_0000_00,CaoMei1_0000_00,0,0.9839,0.9839,0.0,0.9839,0.0
R1,Easy21,CaoMei1,0025,CaoMei1_0025_00,CaoMei1_0025_00,0,0.9793,0.9793,0.0,0.9793,0.0
R1,Easy21,CaoMei1,0050,CaoMei1_0050_00,CaoMei1_0050_00,0,0.9761,0.9761,0.0,0.9761,0.0
R1,Easy21,CaoMei1,0075,CaoMei1_0075_00,CaoMei1_0075_00,0,0.985,0.985,0.0,0.985,0.0
R1,Easy21,CaoMei1,0100,CaoMei1_0100_00,CaoMei1_0100_00,0,0.9885,0.9885,0.0,0.9885,0.0
R1,Easy21,ChangShouHua2,0000,ChangShouHua2_0000_00,ChangShouHua2_0000_00,0,0.987,0.987,0.0,0.987,0.0
R1,Easy21,ChangShouHua2,0025,ChangShouHua2_0025_00,ChangShouHua2_0025_00,0,0.9833,0.9833,0.0,0.9833,0.0
R1,Easy21,ChangShouHua2,0050,ChangShouHua2_0050_00,ChangShouHua2_0050_00,0,0.9781,0.9781,0.0,0.9781,0.0
R1,Easy21,ChangShouHua2,0075,ChangShouHua2_0075_00,ChangShouHua2_0075_00,0,0.9856,0.9856,0.0,0.9856,0.0
R1,Easy21,ChangShouHua2,0100,ChangShouHua2_0100_00,ChangShouHua2_0100_00,0,0.9815,0.9815,0.0,0.9815,0.0
R1,Easy21,DouBanLv1,0000,DouBanLv1_0000_00,DouBanLv1_0000_00,0,0.9891,0.9891,0.0,0.9891,0.0
R1,Easy21,DouBanLv1,0025,DouBanLv1_0025_00,DouBanLv1_0025_00,0,0.9829,0.9829,0.0,0.9829,0.0
R1,Easy21,DouBanLv1,0050,DouBanLv1_0050_00,DouBanLv1_0050_00,0,0.9852,0.9852,0.0,0.9852,0.0
R1,Easy21,DouBanLv1,0075,DouBanLv1_0075_00,DouBanLv1_0075_00,0,0.984,0.984,0.0,0.984,0.0
R1,Easy21,DouBanLv1,0100,DouBanLv1_0100_00,DouBanLv1_0100_00,0,0.9849,0.9849,0.0,0.9849,0.0
R1,Easy21,KongQueZhuYu,0000,KongQueZhuYu_0000_01,KongQueZhuYu_0000_01,0,0.9811,0.9811,0.0,0.9811,0.0
R1,Easy21,KongQueZhuYu,0025,KongQueZhuYu_0025_00,KongQueZhuYu_0025_00,0,0.9859,0.9859,0.0,0.9859,0.0
R1,Easy21,KongQueZhuYu,0050,KongQueZhuYu_0050_00,KongQueZhuYu_0050_00,0,0.9836,0.9836,0.0,0.9836,0.0
R1,Easy21,KongQueZhuYu,0075,KongQueZhuYu_0075_00,KongQueZhuYu_0075_00,0,0.982,0.982,0.0,0.982,0.0
R1,Easy21,KongQueZhuYu,0100,KongQueZhuYu_0100_03,KongQueZhuYu_0100_03,0,0.9859,0.9859,0.0,0.9859,0.0
R1,Easy21,XianKeLai1,0000,XianKeLai1_0000_00,XianKeLai1_0000_00,0,0.9806,0.9806,0.0,0.9806,0.0
R2,DEV10,BaiZhang,0033,BaiZhang_0033_02,BaiZhang_0033_02,0,0.9593,0.9593,0.0,0.9593,0.0
R2,DEV10,BaiZhang,0034,BaiZhang_0034_02,BaiZhang_0034_02,0,0.9557,0.9557,0.0,0.9557,0.0
R2,DEV10,BaiZhang,0035,BaiZhang_0035_03,BaiZhang_0035_03,0,0.9605,0.9605,0.0,0.9605,0.0
R2,DEV10,BaiZhang,0036,BaiZhang_0036_00,BaiZhang_0036_00,0,0.9623,0.9623,0.0,0.9623,0.0
R2,DEV10,BaiZhang,0037,BaiZhang_0037_01,BaiZhang_0037_01,0,0.9536,0.9536,0.0,0.9536,0.0
R2,DEV10,DouBanLv2,0037,DouBanLv2_0037_00,DouBanLv2_0037_00,0,0.9855,0.9855,0.0,0.9855,0.0
R2,DEV10,DouBanLv2,0038,DouBanLv2_0038_00,DouBanLv2_0038_00,0,0.9898,0.9898,0.0,0.9898,0.0
R2,DEV10,DouBanLv2,0039,DouBanLv2_0039_00,DouBanLv2_0039_01,1,0.0,0.9867,0.98666,0.9867,0.0
R2,DEV10,DouBanLv2,0040,DouBanLv2_0040_01,DouBanLv2_0040_00,1,0.0,0.9882,0.98816,0.9882,0.0
R2,DEV10,DouBanLv2,0041,DouBanLv2_0041_00,DouBanLv2_0041_03,1,0.0,0.9865,0.986485,0.9865,0.0
R2,Easy21,CaoMei1,0000,CaoMei1_0000_00,CaoMei1_0000_00,0,0.9839,0.9839,0.0,0.9839,0.0
R2,Easy21,CaoMei1,0025,CaoMei1_0025_00,CaoMei1_0025_00,0,0.9793,0.9793,0.0,0.9793,0.0
R2,Easy21,CaoMei1,0050,CaoMei1_0050_00,CaoMei1_0050_00,0,0.9761,0.9761,0.0,0.9761,0.0
R2,Easy21,CaoMei1,0075,CaoMei1_0075_00,CaoMei1_0075_00,0,0.985,0.985,0.0,0.985,0.0
R2,Easy21,CaoMei1,0100,CaoMei1_0100_00,CaoMei1_0100_00,0,0.9885,0.9885,0.0,0.9885,0.0
R2,Easy21,ChangShouHua2,0000,ChangShouHua2_0000_00,ChangShouHua2_0000_00,0,0.987,0.987,0.0,0.987,0.0
R2,Easy21,ChangShouHua2,0025,ChangShouHua2_0025_00,ChangShouHua2_0025_00,0,0.9833,0.9833,0.0,0.9833,0.0
R2,Easy21,ChangShouHua2,0050,ChangShouHua2_0050_00,ChangShouHua2_0050_00,0,0.9781,0.9781,0.0,0.9781,0.0
R2,Easy21,ChangShouHua2,0075,ChangShouHua2_0075_00,ChangShouHua2_0075_00,0,0.9856,0.9856,0.0,0.9856,0.0
R2,Easy21,ChangShouHua2,0100,ChangShouHua2_0100_00,ChangShouHua2_0100_00,0,0.9815,0.9815,0.0,0.9815,0.0
R2,Easy21,DouBanLv1,0000,DouBanLv1_0000_00,DouBanLv1_0000_00,0,0.9891,0.9891,0.0,0.9891,0.0
R2,Easy21,DouBanLv1,0025,DouBanLv1_0025_00,DouBanLv1_0025_00,0,0.9829,0.9829,0.0,0.9829,0.0
R2,Easy21,DouBanLv1,0050,DouBanLv1_0050_00,DouBanLv1_0050_00,0,0.9852,0.9852,0.0,0.9852,0.0
R2,Easy21,DouBanLv1,0075,DouBanLv1_0075_00,DouBanLv1_0075_00,0,0.984,0.984,0.0,0.984,0.0
R2,Easy21,DouBanLv1,0100,DouBanLv1_0100_00,DouBanLv1_0100_00,0,0.9849,0.9849,0.0,0.9849,0.0
R2,Easy21,KongQueZhuYu,0000,KongQueZhuYu_0000_01,KongQueZhuYu_0000_01,0,0.9811,0.9811,0.0,0.9811,0.0
R2,Easy21,KongQueZhuYu,0025,KongQueZhuYu_0025_00,KongQueZhuYu_0025_00,0,0.9859,0.9859,0.0,0.9859,0.0
R2,Easy21,KongQueZhuYu,0050,KongQueZhuYu_0050_00,KongQueZhuYu_0050_00,0,0.9836,0.9836,0.0,0.9836,0.0
R2,Easy21,KongQueZhuYu,0075,KongQueZhuYu_0075_00,KongQueZhuYu_0075_00,0,0.982,0.982,0.0,0.982,0.0
R2,Easy21,KongQueZhuYu,0100,KongQueZhuYu_0100_03,KongQueZhuYu_0100_03,0,0.9859,0.9859,0.0,0.9859,0.0
R2,Easy21,XianKeLai1,0000,XianKeLai1_0000_00,XianKeLai1_0000_00,0,0.9806,0.9806,0.0,0.9806,0.0
R3,DEV10,BaiZhang,0033,BaiZhang_0033_02,BaiZhang_0033_02,0,0.9593,0.9593,0.0,0.9593,0.0
R3,DEV10,BaiZhang,0034,BaiZhang_0034_02,BaiZhang_0034_02,0,0.9557,0.9557,0.0,0.9557,0.0
