source,sample,frame,policy,baseline_selected,replay_selected,offline_expected,primary_score,total_score,candidate_F1,baseline_F1,oracle_F1,match
DEV10,BaiZhang,0033,r1,BaiZhang_0033_02,BaiZhang_0033_02,BaiZhang_0033_02,0.5479945,0.71024098,0.9593,0.9593,0.9593,1
DEV10,BaiZhang,0034,r1,BaiZhang_0034_02,BaiZhang_0034_02,BaiZhang_0034_02,0.58662219,0.73862102,0.9557,0.9557,0.9557,1
DEV10,BaiZhang,0035,r1,BaiZhang_0035_03,BaiZhang_0035_03,BaiZhang_0035_03,0.57682829,0.71979083,0.9605,0.9605,0.9605,1
DEV10,BaiZhang,0036,r1,BaiZhang_0036_00,BaiZhang_0036_00,BaiZhang_0036_00,0.57014644,0.71783396,0.9623,0.9623,0.9623,1
DEV10,BaiZhang,0037,r1,BaiZhang_0037_01,BaiZhang_0037_01,BaiZhang_0037_01,0.65499627,0.81817199,0.9536,0.9536,0.9536,1
DEV10,DouBanLv2,0037,r1,DouBanLv2_0037_00,DouBanLv2_0037_00,DouBanLv2_0037_00,0.63398946,0.65561715,0.9855,0.9855,0.9855,1
DEV10,DouBanLv2,0038,r1,DouBanLv2_0038_00,DouBanLv2_0038_00,DouBanLv2_0038_00,0.62504822,0.64267494,0.9898,0.9898,0.9898,1
DEV10,DouBanLv2,0039,r1,DouBanLv2_0039_00,DouBanLv2_0039_01,DouBanLv2_0039_01,0.61905546,0.64042713,0.9867,0.0,0.9867,1
DEV10,DouBanLv2,0040,r1,DouBanLv2_0040_01,DouBanLv2_0040_00,DouBanLv2_0040_00,0.61344635,0.64594314,0.9882,0.0,0.9882,1
DEV10,DouBanLv2,0041,r1,DouBanLv2_0041_00,DouBanLv2_0041_03,DouBanLv2_0041_03,0.60906362,0.65751843,0.9865,0.0,0.9865,1
Easy21,CaoMei1,0000,r1,CaoMei1_0000_00,CaoMei1_0000_00,CaoMei1_0000_00,0.59434436,0.63222781,0.9839,0.9839,0.9839,1
Easy21,CaoMei1,0025,r1,CaoMei1_0025_00,CaoMei1_0025_00,CaoMei1_0025_00,0.59455079,0.76923636,0.9793,0.9793,0.9793,1
Easy21,CaoMei1,0050,r1,CaoMei1_0050_00,CaoMei1_0050_00,CaoMei1_0050_00,0.57193735,0.60928684,0.9761,0.9761,0.9761,1
Easy21,CaoMei1,0075,r1,CaoMei1_0075_00,CaoMei1_0075_00,CaoMei1_0075_00,0.57838793,0.73082125,0.985,0.985,0.985,1
Easy21,CaoMei1,0100,r1,CaoMei1_0100_00,CaoMei1_0100_00,CaoMei1_0100_00,0.57064934,0.62211748,0.9885,0.9885,0.9885,1
Easy21,ChangShouHua2,0000,r1,ChangShouHua2_0000_00,ChangShouHua2_0000_00,ChangShouHua2_0000_00,0.59746075,0.77927893,0.987,0.987,0.987,1
Easy21,ChangShouHua2,0025,r1,ChangShouHua2_0025_00,ChangShouHua2_0025_00,ChangShouHua2_0025_00,0.64214122,0.72497362,0.9833,0.9833,0.9833,1
Easy21,ChangShouHua2,0050,r1,ChangShouHua2_0050_00,ChangShouHua2_0050_00,ChangShouHua2_0050_00,0.62422061,0.80603879,0.9781,0.9781,0.9781,1
Easy21,ChangShouHua2,0075,r1,ChangShouHua2_0075_00,ChangShouHua2_0075_00,ChangShouHua2_0075_00,0.54884168,0.60589649,0.9856,0.9856,0.9856,1
Easy21,ChangShouHua2,0100,r1,ChangShouHua2_0100_00,ChangShouHua2_0100_00,ChangShouHua2_0100_00,0.67923072,0.8610489,0.9815,0.9815,0.9815,1
Easy21,DouBanLv1,0000,r1,DouBanLv1_0000_00,DouBanLv1_0000_00,DouBanLv1_0000_00,0.64103563,0.82285381,0.9891,0.9891,0.9891,1
Easy21,DouBanLv1,0025,r1,DouBanLv1_0025_00,DouBanLv1_0025_00,DouBanLv1_0025_00,0.61106632,0.6452702,0.9829,0.9829,0.9829,1
Easy21,DouBanLv1,0050,r1,DouBanLv1_0050_00,DouBanLv1_0050_00,DouBanLv1_0050_00,0.5850201,0.76683828,0.9852,0.9852,0.9852,1
Easy21,DouBanLv1,0075,r1,DouBanLv1_0075_00,DouBanLv1_0075_00,DouBanLv1_0075_00,0.60897027,0.68147625,0.984,0.984,0.984,1
Easy21,DouBanLv1,0100,r1,DouBanLv1_0100_00,DouBanLv1_0100_00,DouBanLv1_0100_00,0.58500284,0.76682102,0.9849,0.9849,0.9849,1
Easy21,KongQueZhuYu,0000,r1,KongQueZhuYu_0000_01,KongQueZhuYu_0000_01,KongQueZhuYu_0000_01,0.63671718,0.74162334,0.9811,0.9811,0.9811,1
Easy21,KongQueZhuYu,0025,r1,KongQueZhuYu_0025_00,KongQueZhuYu_0025_00,KongQueZhuYu_0025_00,0.68828437,0.73097894,0.9859,0.9859,0.9859,1
Easy21,KongQueZhuYu,0050,r1,KongQueZhuYu_0050_00,KongQueZhuYu_0050_00,KongQueZhuYu_0050_00,0.64017291,0.6622476,0.9836,0.9836,0.9836,1
Easy21,KongQueZhuYu,0075,r1,KongQueZhuYu_0075_00,KongQueZhuYu_0075_00,KongQueZhuYu_0075_00,0.53851597,0.63502616,0.982,0.982,0.982,1
Easy21,KongQueZhuYu,0100,r1,KongQueZhuYu_0100_03,KongQueZhuYu_0100_03,KongQueZhuYu_0100_03,0.66359796,0.75775019,0.9859,0.9859,0.9859,1
Easy21,XianKeLai1,0000,r1,XianKeLai1_0000_00,XianKeLai1_0000_00,XianKeLai1_0000_00,0.52531752,0.57431041,0.9806,0.9806,0.9806,1
