sample,frame,p6_path,pred_empty,tp,fp,fn,tn,precision,recall,f1,iou,pred_area,gt_area,area_ratio,cube_overlap_px,cube_overlap_ratio,is_fail_frame
CaoMei1,0000,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十二_GT_v2_QA与P6正式验收/P6_raw_baseline/最终掩膜/mask_CaoMei1_0000.png,False,1053257,3502,30944,7206697,0.996686,0.971459,0.983911,0.968331,1056759,1084201,0.9747,0,0.0,0
CaoMei1,0025,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十二_GT_v2_QA与P6正式验收/P6_raw_baseline/最终掩膜/mask_CaoMei1_0025.png,False,1060247,2266,42472,7189415,0.997867,0.961484,0.979338,0.959513,1062513,1102719,0.9635,0,0.0,0
CaoMei1,0050,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十二_GT_v2_QA与P6正式验收/P6_raw_baseline/最终掩膜/mask_CaoMei1_0050.png,False,654132,2984,29101,7608183,0.995459,0.957407,0.976062,0.953244,657116,683233,0.9618,0,0.0,0
CaoMei1,0075,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十二_GT_v2_QA与P6正式验收/P6_raw_baseline/最终掩膜/mask_CaoMei1_0075.png,False,763654,3510,19790,7507446,0.995425,0.97474,0.984974,0.970392,767164,783444,0.9792,0,0.0,0
CaoMei1,0100,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十二_GT_v2_QA与P6正式验收/P6_raw_baseline/最终掩膜/mask_CaoMei1_0100.png,False,962779,3051,19397,7309173,0.996841,0.980251,0.988476,0.977215,965830,982176,0.9834,0,0.0,1
ChangShouHua2,0000,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十二_GT_v2_QA与P6正式验收/P6_raw_baseline/最终掩膜/mask_ChangShouHua2_0000.png,False,2784338,12980,60190,5436892,0.99536,0.97884,0.987031,0.974394,2797318,2844528,0.9834,0,0.0,0
ChangShouHua2,0025,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十二_GT_v2_QA与P6正式验收/P6_raw_baseline/最终掩膜/mask_ChangShouHua2_0025.png,False,1901014,12901,51845,6328640,0.993259,0.973452,0.983256,0.967063,1913915,1952859,0.9801,0,0.0,0
ChangShouHua2,0050,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十二_GT_v2_QA与P6正式验收/P6_raw_baseline/最终掩膜/mask_ChangShouHua2_0050.png,False,1576359,14717,55849,6647475,0.99075,0.965783,0.978107,0.957153,1591076,1632208,0.9748,0,0.0,0
ChangShouHua2,0075,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十二_GT_v2_QA与P6正式验收/P6_raw_baseline/最终掩膜/mask_ChangShouHua2_0075.png,False,1854626,16312,37786,6385676,0.991281,0.980033,0.985625,0.971658,1870938,1892412,0.9887,0,0.0,0
ChangShouHua2,0100,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十二_GT_v2_QA与P6正式验收/P6_raw_baseline/最终掩膜/mask_ChangShouHua2_0100.png,False,2588909,13211,84272,5608008,0.994923,0.968475,0.981521,0.963712,2602120,2673181,0.9734,0,0.0,1
DouBanLv1,0000,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十二_GT_v2_QA与P6正式验收/P6_raw_baseline/最终掩膜/mask_DouBanLv1_0000.png,False,1889675,2442,39264,6363019,0.998709,0.979645,0.989085,0.978406,1892117,1928939,0.9809,0,0.0,1
DouBanLv1,0025,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十二_GT_v2_QA与P6正式验收/P6_raw_baseline/最终掩膜/mask_DouBanLv1_0025.png,False,1339097,16920,29572,6908811,0.987522,0.978394,0.982937,0.966446,1356017,1368669,0.9908,0,0.0,0
DouBanLv1,0050,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十二_GT_v2_QA与P6正式验收/P6_raw_baseline/最终掩膜/mask_DouBanLv1_0050.png,False,881986,4693,21859,7385862,0.994707,0.975816,0.985171,0.970775,886679,903845,0.981,0,0.0,0
