stem,sample,frame,stratum,diff,is_h1,V00,V10,V01,V11,d_V10,d_V01,d_V11,consensus_accepted,mem_seed_v01,mem_sel_v01,mem_sel_v11
ChangShouHua2_0050,ChangShouHua2,0050,hard,0.734543694591955,False,0.978105,0.978105,0.978105,0.978105,+0.000000,+0.000000,+0.000000,1,ChangShouHua2_0100,0,0
ChangShouHua2_0100,ChangShouHua2,0100,hard,0.6999109075238349,True,0.981510,0.981510,0.981510,0.981510,+0.000000,+0.000000,+0.000000,0,ChangShouHua2_0100,0,0
ChangShouHua2_0000,ChangShouHua2,0000,hard,0.6950867646099362,False,0.987028,0.987028,0.987028,0.987028,+0.000000,+0.000000,+0.000000,0,ChangShouHua2_0100,0,0
DouBanLv1_0050,DouBanLv1,0050,hard,0.668366955619423,False,0.985166,0.985166,0.985154,0.985315,+0.000000,-0.000012,+0.000149,1,DouBanLv1_0000,1,1
DouBanLv1_0000,DouBanLv1,0000,hard,0.6282207788668794,True,0.989082,0.989082,0.989549,0.989082,+0.000000,+0.000467,+0.000000,0,DouBanLv1_0000,1,0
CaoMei1_0000,CaoMei1,0000,hard,0.6169703529402906,False,0.983889,0.983889,0.985794,0.983324,+0.000000,+0.001905,-0.000565,0,CaoMei1_0025,1,1
KongQueZhuYu_0075,KongQueZhuYu,0075,hard,0.6136521835875024,False,0.982034,0.982034,0.982034,0.982034,+0.000000,+0.000000,+0.000000,0,KongQueZhuYu_0100,0,0
CaoMei1_0100,CaoMei1,0100,mid,0.61220007403911,True,0.988469,0.988469,0.988656,0.988459,+0.000000,+0.000187,-0.000010,0,CaoMei1_0025,1,1
CaoMei1_0075,CaoMei1,0075,mid,0.5403671117559353,False,0.984976,0.984976,0.984976,0.984976,+0.000000,+0.000000,+0.000000,0,CaoMei1_0025,0,0
ChangShouHua2_0025,ChangShouHua2,0025,mid,0.5356833056243865,False,0.983260,0.983260,0.983260,0.983260,+0.000000,+0.000000,+0.000000,1,ChangShouHua2_0100,0,0
ChangShouHua2_0075,ChangShouHua2,0075,mid,0.535050045517397,False,0.985615,0.927794,0.985615,0.927794,-0.057821,+0.000000,-0.057821,1,ChangShouHua2_0100,0,0
XianKeLai1_0000,XianKeLai1,0000,mid,0.5338726334622385,False,0.980577,0.980577,0.980577,0.980577,+0.000000,+0.000000,+0.000000,,XianKeLai1_0000,0,0
DouBanLv1_0100,DouBanLv1,0100,mid,0.5331314582664576,False,0.984886,0.984886,0.986155,0.986168,+0.000000,+0.001270,+0.001283,0,DouBanLv1_0000,1,1
DouBanLv1_0025,DouBanLv1,0025,mid,0.5308005209195906,False,0.982940,0.982940,0.980206,0.982940,+0.000000,-0.002734,+0.000000,1,DouBanLv1_0000,1,0
KongQueZhuYu_0050,KongQueZhuYu,0050,easy,0.5276975475791036,False,0.983553,0.983553,0.983553,0.983553,+0.000000,+0.000000,+0.000000,0,KongQueZhuYu_0100,0,0
DouBanLv1_0075,DouBanLv1,0075,easy,0.5160804430996198,False,0.984005,0.984005,0.985534,0.983269,+0.000000,+0.001529,-0.000736,0,DouBanLv1_0000,1,1
KongQueZhuYu_0025,KongQueZhuYu,0025,easy,0.5057302403372378,False,0.985911,0.985911,0.985911,0.985911,+0.000000,+0.000000,+0.000000,0,KongQueZhuYu_0100,0,0
KongQueZhuYu_0100,KongQueZhuYu,0100,easy,0.49085275988306576,False,0.985858,0.985858,0.985858,0.985858,+0.000000,+0.000000,+0.000000,0,KongQueZhuYu_0100,0,0
KongQueZhuYu_0000,KongQueZhuYu,0000,easy,0.47844110871408835,False,0.981122,0.981122,0.981122,0.981122,+0.000000,+0.000000,+0.000000,0,KongQueZhuYu_0100,0,0
CaoMei1_0050,CaoMei1,0050,easy,0.47620821916417055,False,0.976082,0.976082,0.975355,0.976082,+0.000000,-0.000727,+0.000000,0,CaoMei1_0025,1,0
CaoMei1_0025,CaoMei1,0025,easy,0.42954731098846416,False,0.979340,0.979340,0.978769,0.979340,+0.000000,-0.000572,+0.000000,0,CaoMei1_0025,1,0
