paper_label,value,source_file,source_column,filter,aggregation,source_commit
Easy21_FrozenP6_f1_mean,0.983498,阶段十二_GT_v2_QA与P6正式验收/指标/P6_汇总.json,f1_mean,all 21 frames,mean,b970913d
Easy21_FrozenP6_f1_median,0.983911,阶段十二_GT_v2_QA与P6正式验收/指标/P6_汇总.json,f1_median,all 21 frames,median,b970913d
Easy21_V00_f1_mean,0.983498,阶段十四点一_A7有效性封口/Phase14_1_manifest.json,variants.f1_mean,V00,mean,79471fe7
Easy21_V00_f1_median,0.983911,阶段十四点一_A7有效性封口/Phase14_1_manifest.json,variants.f1_median,V00,median,79471fe7
Easy21_V00_material_regressions,0,阶段十四点一_A7有效性封口/Phase14_1_report.md,§E regressions column,V00,count,79471fe7
Easy21_V10_f1_mean,0.9807,阶段十四点一_A7有效性封口/Phase14_1_manifest.json,variants.f1_mean,V10,mean,79471fe7
Easy21_V10_f1_median,0.9836,阶段十四点一_A7有效性封口/Phase14_1_manifest.json,variants.f1_median,V10,median,79471fe7
Easy21_V10_material_regressions,1,阶段十四点一_A7有效性封口/Phase14_1_report.md,§E regressions column,V10,count,79471fe7
Easy21_V01_f1_mean,0.9836,阶段十四点一_A7有效性封口/Phase14_1_manifest.json,variants.f1_mean,V01,mean,79471fe7
Easy21_V01_f1_median,0.985,阶段十四点一_A7有效性封口/Phase14_1_manifest.json,variants.f1_median,V01,median,79471fe7
Easy21_V01_material_regressions,0,阶段十四点一_A7有效性封口/Phase14_1_report.md,§E regressions column,V01,count,79471fe7
Easy21_V11_f1_mean,0.9807,阶段十四点一_A7有效性封口/Phase14_1_manifest.json,variants.f1_mean,V11,mean,79471fe7
Easy21_V11_f1_median,0.9833,阶段十四点一_A7有效性封口/Phase14_1_manifest.json,variants.f1_median,V11,median,79471fe7
Easy21_V11_material_regressions,1,阶段十四点一_A7有效性封口/Phase14_1_report.md,§E regressions column,V11,count,79471fe7
Easy21_R0_selection_changed,0,阶段十七C_候选排序修复开发/Phase17C_easy21_safety.csv,changed,policy=R0,count,d704faa8
Easy21_R0_material_regressions,0,阶段十七C_候选排序修复开发/Phase17C_easy21_safety.csv,delta_F1,policy=R0 & delta<-0.005,count,d704faa8
Easy21_R1_selection_changed,0,阶段十七C_候选排序修复开发/Phase17C_easy21_safety.csv,changed,policy=R1,count,d704faa8
Easy21_R1_material_regressions,0,阶段十七C_候选排序修复开发/Phase17C_easy21_safety.csv,delta_F1,policy=R1 & delta<-0.005,count,d704faa8
Easy21_R2_selection_changed,0,阶段十七C_候选排序修复开发/Phase17C_easy21_safety.csv,changed,policy=R2,count,d704faa8
Easy21_R2_material_regressions,0,阶段十七C_候选排序修复开发/Phase17C_easy21_safety.csv,delta_F1,policy=R2 & delta<-0.005,count,d704faa8
Easy21_R3_selection_changed,0,阶段十七C_候选排序修复开发/Phase17C_easy21_safety.csv,changed,policy=R3,count,d704faa8
Easy21_R3_material_regressions,0,阶段十七C_候选排序修复开发/Phase17C_easy21_safety.csv,delta_F1,policy=R3 & delta<-0.005,count,d704faa8
GT10_baseline_mean_F1,0.67667,阶段十七C_候选排序修复开发/Phase17C_policy_comparison.csv,new_F1,source=DEV10 & policy=R0,mean,d704faa8
GT10_baseline_median_F1,0.9575,阶段十七C_候选排序修复开发/Phase17C_policy_comparison.csv,new_F1,source=DEV10 & policy=R0,median,d704faa8
GT10_baseline_catastrophic,3,阶段十七C_候选排序修复开发/Phase17C_policy_comparison.csv,new_F1,source=DEV10 & policy=R0 & new_F1==0,count,d704faa8
GT10_R1_mean_F1,0.9728100000000002,阶段十七C_候选排序修复开发/Phase17C_policy_comparison.csv,new_F1,source=DEV10 & policy=R1,mean,d704faa8
GT10_R1_median_F1,0.9739,阶段十七C_候选排序修复开发/Phase17C_policy_comparison.csv,new_F1,source=DEV10 & policy=R1,median,d704faa8
GT10_R1_catastrophic,0,阶段十七C_候选排序修复开发/Phase17C_policy_comparison.csv,new_F1,source=DEV10 & policy=R1 & new_F1==0,count,d704faa8
FR_0039_baseline_F1,0.0,阶段十七C_候选排序修复开发/Phase17C_policy_comparison.csv,baseline_F1,frame=0039 & policy=R0,single_value,d704faa8
FR_0039_oracle_F1,0.9867,阶段十七C_候选排序修复开发/Phase17C_policy_comparison.csv,oracle_F1,frame=0039,single_value,d704faa8
FR_0039_R1_F1,0.9867,阶段十七C_候选排序修复开发/Phase17C_policy_comparison.csv,new_F1,frame=0039 & policy=R1,single_value,d704faa8
FR_0040_baseline_F1,0.0,阶段十七C_候选排序修复开发/Phase17C_policy_comparison.csv,baseline_F1,frame=0040 & policy=R0,single_value,d704faa8
FR_0040_oracle_F1,0.9882,阶段十七C_候选排序修复开发/Phase17C_policy_comparison.csv,oracle_F1,frame=0040,single_value,d704faa8
FR_0040_R1_F1,0.9882,阶段十七C_候选排序修复开发/Phase17C_policy_comparison.csv,new_F1,frame=0040 & policy=R1,single_value,d704faa8
FR_0041_baseline_F1,0.0,阶段十七C_候选排序修复开发/Phase17C_policy_comparison.csv,baseline_F1,frame=0041 & policy=R0,single_value,d704faa8
FR_0041_oracle_F1,0.9865,阶段十七C_候选排序修复开发/Phase17C_policy_comparison.csv,oracle_F1,frame=0041,single_value,d704faa8
FR_0041_R1_F1,0.9865,阶段十七C_候选排序修复开发/Phase17C_policy_comparison.csv,new_F1,frame=0041 & policy=R1,single_value,d704faa8
SM_0039_oracle_primary_R1,0.619055,阶段十七C_候选排序修复开发/Phase17C_ranking_benchmark.csv,total_score & q_contrast,frame=0039 & oracle & primary=total-qc/5.5,computed,d704faa8
SM_0039_R0_selected_distractor_primary_R1,0.496979,阶段十七C_候选排序修复开发/Phase17C_ranking_benchmark.csv,total_score & q_contrast,frame=0039 & R0_selected_distractor & primary=total-qc/5.5,computed,d704faa8
SM_0040_oracle_primary_R1,0.613446,阶段十七C_候选排序修复开发/Phase17C_ranking_benchmark.csv,total_score & q_contrast,frame=0040 & oracle & primary=total-qc/5.5,computed,d704faa8
SM_0040_R0_selected_distractor_primary_R1,0.511518,阶段十七C_候选排序修复开发/Phase17C_ranking_benchmark.csv,total_score & q_contrast,frame=0040 & R0_selected_distractor & primary=total-qc/5.5,computed,d704faa8
SM_0041_oracle_primary_R1,0.609064,阶段十七C_候选排序修复开发/Phase17C_ranking_benchmark.csv,total_score & q_contrast,frame=0041 & oracle & primary=total-qc/5.5,computed,d704faa8
SM_0041_R0_selected_distractor_primary_R1,0.537997,阶段十七C_候选排序修复开发/Phase17C_ranking_benchmark.csv,total_score & q_contrast,frame=0041 & R0_selected_distractor & primary=total-qc/5.5,computed,d704faa8
ABL_R0_DEV10_mean_F1,0.67667,阶段十七C_候选排序修复开发/Phase17C_policy_comparison.csv,new_F1,source=DEV10 & policy=R0,mean,d704faa8
ABL_R0_catastrophic,3,阶段十七C_候选排序修复开发/Phase17C_policy_comparison.csv,new_F1,policy=R0 & new_F1==0,count,d704faa8
