challenge_id,split,sample,sequence,frame,image_path,difficulty_rank,difficulty_score,primary_difficulty,secondary_difficulty,selection_reason,is_gt_target,context_start,context_end,gt_status
HARD-BaiZhang-0033,DEV,BaiZhang,BaiZhang,0033,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/BaiZhang/0033.jpg,,,D1_neighbor_plant_adhesion,D11_cluttered_background,user_manual_selection (multi-plant visible in background),yes,0028,0038,annotated
HARD-BaiZhang-0034,DEV,BaiZhang,BaiZhang,0034,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/BaiZhang/0034.jpg,,,D1_neighbor_plant_adhesion,D11_cluttered_background,user_manual_selection (multi-plant visible in background),yes,0029,0039,annotated
HARD-BaiZhang-0035,DEV,BaiZhang,BaiZhang,0035,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/BaiZhang/0035.jpg,,,D1_neighbor_plant_adhesion,D11_cluttered_background,user_manual_selection (multi-plant visible in background),yes,0030,0040,annotated
HARD-BaiZhang-0036,DEV,BaiZhang,BaiZhang,0036,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/BaiZhang/0036.jpg,,,D1_neighbor_plant_adhesion,D11_cluttered_background,user_manual_selection (multi-plant visible in background),yes,0031,0041,annotated
HARD-BaiZhang-0037,DEV,BaiZhang,BaiZhang,0037,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/BaiZhang/0037.jpg,,,D1_neighbor_plant_adhesion,D11_cluttered_background,user_manual_selection (multi-plant visible in background),yes,0032,0042,annotated
HARD-BaiZhang-0038,DEV,BaiZhang,BaiZhang,0038,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/BaiZhang/0038.jpg,,,D1_neighbor_plant_adhesion,D11_cluttered_background,user_manual_selection (multi-plant visible in background),yes,0033,0043,pending
HARD-BaiZhang-0039,DEV,BaiZhang,BaiZhang,0039,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/BaiZhang/0039.jpg,,,D1_neighbor_plant_adhesion,D11_cluttered_background,user_manual_selection (multi-plant visible in background),yes,0034,0044,pending
HARD-BaiZhang-0040,DEV,BaiZhang,BaiZhang,0040,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/BaiZhang/0040.jpg,,,D1_neighbor_plant_adhesion,D11_cluttered_background,user_manual_selection (multi-plant visible in background),yes,0035,0045,pending
HARD-BaiZhang-0041,DEV,BaiZhang,BaiZhang,0041,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/BaiZhang/0041.jpg,,,D1_neighbor_plant_adhesion,D11_cluttered_background,user_manual_selection (multi-plant visible in background),yes,0036,0046,pending
HARD-BaiZhang-0042,DEV,BaiZhang,BaiZhang,0042,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/BaiZhang/0042.jpg,,,D1_neighbor_plant_adhesion,D11_cluttered_background,user_manual_selection (multi-plant visible in background),yes,0037,0047,pending
HARD-BaiZhang-0043,DEV,BaiZhang,BaiZhang,0043,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/BaiZhang/0043.jpg,,,D1_neighbor_plant_adhesion,D11_cluttered_background,user_manual_selection (multi-plant visible in background),yes,0038,0048,pending
HARD-BaiZhang-0044,DEV,BaiZhang,BaiZhang,0044,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/BaiZhang/0044.jpg,,,D1_neighbor_plant_adhesion,D11_cluttered_background,user_manual_selection (multi-plant visible in background),yes,0039,0049,pending
HARD-BaiZhang-0045,DEV,BaiZhang,BaiZhang,0045,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/BaiZhang/0045.jpg,,,D1_neighbor_plant_adhesion,D11_cluttered_background,user_manual_selection (multi-plant visible in background),yes,0040,0050,pending
HARD-DouBanLv2-0029,DEV,DouBanLv2,DouBanLv2,0029,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/DouBanLv2/0029.jpg,,,D1_neighbor_plant_adhesion,D11_cluttered_background,user_manual_selection (multi-plant visible in background),yes,0024,0034,pending
