序号,图像名,图像路径
0,CaoMei1_0000.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十二_GT_v2_QA与P6正式验收/frame_inputs/CaoMei1_0000.jpg
1,CaoMei1_0025.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十二_GT_v2_QA与P6正式验收/frame_inputs/CaoMei1_0025.jpg
2,CaoMei1_0050.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十二_GT_v2_QA与P6正式验收/frame_inputs/CaoMei1_0050.jpg
3,CaoMei1_0075.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十二_GT_v2_QA与P6正式验收/frame_inputs/CaoMei1_0075.jpg
4,CaoMei1_0100.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十二_GT_v2_QA与P6正式验收/frame_inputs/CaoMei1_0100.jpg
5,ChangShouHua2_0000.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十二_GT_v2_QA与P6正式验收/frame_inputs/ChangShouHua2_0000.jpg
6,ChangShouHua2_0025.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十二_GT_v2_QA与P6正式验收/frame_inputs/ChangShouHua2_0025.jpg
7,ChangShouHua2_0050.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十二_GT_v2_QA与P6正式验收/frame_inputs/ChangShouHua2_0050.jpg
8,ChangShouHua2_0075.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十二_GT_v2_QA与P6正式验收/frame_inputs/ChangShouHua2_0075.jpg
9,ChangShouHua2_0100.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十二_GT_v2_QA与P6正式验收/frame_inputs/ChangShouHua2_0100.jpg
10,DouBanLv1_0000.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十二_GT_v2_QA与P6正式验收/frame_inputs/DouBanLv1_0000.jpg
11,DouBanLv1_0025.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十二_GT_v2_QA与P6正式验收/frame_inputs/DouBanLv1_0025.jpg
12,DouBanLv1_0050.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十二_GT_v2_QA与P6正式验收/frame_inputs/DouBanLv1_0050.jpg
13,DouBanLv1_0075.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十二_GT_v2_QA与P6正式验收/frame_inputs/DouBanLv1_0075.jpg
14,DouBanLv1_0100.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十二_GT_v2_QA与P6正式验收/frame_inputs/DouBanLv1_0100.jpg
15,KongQueZhuYu_0000.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十二_GT_v2_QA与P6正式验收/frame_inputs/KongQueZhuYu_0000.jpg
16,KongQueZhuYu_0025.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十二_GT_v2_QA与P6正式验收/frame_inputs/KongQueZhuYu_0025.jpg
17,KongQueZhuYu_0050.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十二_GT_v2_QA与P6正式验收/frame_inputs/KongQueZhuYu_0050.jpg
18,KongQueZhuYu_0075.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十二_GT_v2_QA与P6正式验收/frame_inputs/KongQueZhuYu_0075.jpg
19,KongQueZhuYu_0100.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十二_GT_v2_QA与P6正式验收/frame_inputs/KongQueZhuYu_0100.jpg
20,XianKeLai1_0000.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十二_GT_v2_QA与P6正式验收/frame_inputs/XianKeLai1_0000.jpg
