图像,共识启用,共识接受,回退IoU,删除像素比例,补回像素比例,粘连切割像素比例
CaoMei1_0000.png,1,0,0.5423,0.05831,0.0,0.02646
CaoMei1_0025.png,1,0,0.3318,0.08494,0.00196,0.04668
CaoMei1_0050.png,1,0,0.2882,0.0554,0.00344,0.03841
CaoMei1_0075.png,1,0,0.4511,0.04767,0.00687,0.0
CaoMei1_0100.png,1,0,0.2542,0.08648,0.0014,0.0
ChangShouHua2_0000.png,1,0,0.6347,0.12319,0.0,0.06489
ChangShouHua2_0025.png,1,1,0.8458,0.03558,0.0,0.02985
ChangShouHua2_0050.png,1,1,0.7882,0.04064,0.0,0.02211
ChangShouHua2_0075.png,1,1,0.8887,0.0251,0.0,0.0
ChangShouHua2_0100.png,1,0,0.6396,0.11307,0.0,0.06224
DouBanLv1_0000.png,1,0,0.4927,0.11573,0.0,0.03794
DouBanLv1_0025.png,1,1,0.9229,0.01261,0.0,0.00912
DouBanLv1_0050.png,1,1,0.7872,0.02275,0.0,0.0184
DouBanLv1_0075.png,1,0,0.7119,0.04578,0.0,0.01689
DouBanLv1_0100.png,1,0,0.6903,0.03309,0.0,0.02695
KongQueZhuYu_0000.png,1,0,0.7145,0.02537,0.054,0.00699
KongQueZhuYu_0025.png,1,0,0.5915,0.12401,0.02635,0.05472
KongQueZhuYu_0050.png,1,0,0.5823,0.06031,0.05972,0.04273
KongQueZhuYu_0075.png,1,0,0.5204,0.07888,0.08495,0.01657
KongQueZhuYu_0100.png,1,0,0.7474,0.05847,0.01914,0.01652
