variant,sample,status,seed_stem,frames,propagated,seed_area_ratio,seed_bbox_ratio,seed_obj_count
V01_R1,CaoMei1,ok,CaoMei1_0025,5,5,0.1281,0.2132,1
V01_R1,ChangShouHua2,ok,ChangShouHua2_0100,5,1,0.3137,0.5846,1
V01_R1,DouBanLv1,ok,DouBanLv1_0000,5,5,0.2281,0.4196,1
V01_R1,KongQueZhuYu,ok,KongQueZhuYu_0100,5,1,0.2882,0.5219,2
V01_R1,XianKeLai1,ok,XianKeLai1_0000,1,1,0.1787,0.3488,1
V11_R1,CaoMei1,ok,CaoMei1_0025,5,5,0.0451,0.0709,1
V11_R1,ChangShouHua2,ok,ChangShouHua2_0100,5,1,0.2006,0.2704,1
V11_R1,DouBanLv1,ok,DouBanLv1_0000,5,5,0.1124,0.1475,2
V11_R1,KongQueZhuYu,ok,KongQueZhuYu_0100,5,1,0.2488,0.4155,2
V11_R1,XianKeLai1,ok,XianKeLai1_0000,1,1,0.0,0.0,1
