样本,帧,GT口径,A1s基线F1,最终F1,最终IoU,备注
KongQueZhuYu,0000,去盆,0.9742,0.9787,0.9583,全链路+证据引导SPNP
CaoMei1,0000,去盆,0.9243,0.9277,0.8651,
CaoMei1,0025,去盆,0.9527,0.9554,0.9147,
CaoMei1,0050,去盆,0.9676,0.9694,0.9407,
CaoMei1,0075,去盆,0.9163,0.9515,0.9074,掩膜含花盆但GT去盆，F1虚高
CaoMei1,0100,去盆,0.2293,0.2293,0.1295,A1s候选失败：只分割了花盆丢植株
ChangShouHua2,0000,去盆,0.719,0.8215,0.697,
ChangShouHua2,0025,去盆,0.8369,0.978,0.957,
ChangShouHua2,0050,去盆,0.7987,0.9843,0.9691,
ChangShouHua2,0075,疑似带盆,0.7997,0.7581,0.6104,GT口径混标
ChangShouHua2,0100,疑似带盆,0.6824,0.4355,0.2784,GT含盆+深色叶片漏分
DouBanLv1,0000,疑似带盆,0.7311,0.4806,0.3163,GT口径混标
DouBanLv1,0025,去盆,0.9728,0.9741,0.9496,
DouBanLv1,0050,去盆,0.9849,0.9861,0.9727,
DouBanLv1,0075,去盆,0.9752,0.9765,0.9541,
DouBanLv1,0100,去盆,0.9725,0.97,0.9418,
XianKeLai1,0000,去盆,0.8123,0.971,0.9436,A6A7SPNP提升最大帧
