样本,帧,GT口径,P2去盆F1,P6带盆F1,P6植株召回(GT覆盖率),备注
CaoMei1,0000,去盆/带盆混标?,0.928,0.927,0.869,
CaoMei1,0025,去盆,0.955,0.955,0.917,
CaoMei1,0050,去盆,0.969,0.970,0.952,
CaoMei1,0075,去盆(GT含盆),0.951,0.952,0.914,去盆掩膜含盆但GT去盆→F1虚高
CaoMei1,0100,去盆,0.229,0.235,0.178,SAM3候选失败(SAM3只割到盆)两口径同败
ChangShouHua2,0000,去盆,0.821,0.823,0.703,
ChangShouHua2,0025,去盆,0.978,0.978,0.964,
ChangShouHua2,0050,去盆,0.984,0.984,0.978,
ChangShouHua2,0075,疑似带盆,0.758,0.748,0.603,GT口径混标
ChangShouHua2,0100,疑似带盆,0.436,0.393,0.245,GT含盆+深色叶漏分
DouBanLv1,0000,疑似带盆,0.481,0.473,0.311,GT口径混标(标了盆)
DouBanLv1,0025,去盆,0.974,0.974,0.964,
DouBanLv1,0050,去盆,0.986,0.986,0.982,
DouBanLv1,0075,去盆,0.977,0.976,0.965,
DouBanLv1,0100,去盆,0.970,0.970,0.964,
XianKeLai1,0000,去盆,0.971,0.973,0.953,A6A7SPNP提升最大帧
