setting,setting_name,sample,frames,precision,recall,f1,miou,iou_fg,hd95_px,boundary_f1,temporal_iou,area_cv,component_count_mean,outside_nonblack_ratio,leakage_energy,source_stage,status,notes
A0,SAM3单提示词P2,CaoMei1,5,0.9960852326742754,0.9006327797084398,0.9459571808494478,0.9417487914919436,0.8974561219550738,500.20859298706057,0.41088591259946333,0.29755731854504497,0.18211044453490893,1.0,0.0004866831514675963,0.0004278549382716049,候选掩膜/P2_整株去花盆,已评估,单提示词 P2 基线；复用四样本代表集 SAM3_P2 候选掩膜。
A0,SAM3单提示词P2,ChangShouHua2,5,0.9920620882019263,0.9552391692124008,0.9733024731873778,0.9644644239526557,0.947993394129419,61.14492816925049,0.432214701485724,0.4810458705466163,0.2056756914410738,1.0,0.002826642751173127,0.0020635127314814813,候选掩膜/P2_整株去花盆,已评估,单提示词 P2 基线；复用四样本代表集 SAM3_P2 候选掩膜。
A0,SAM3单提示词P2,DouBanLv1,5,0.9914380566057683,0.9575012375271094,0.9741741766809208,0.9700740650717123,0.9496487167080289,99.26482753753662,0.42929439281194215,0.3884586972704869,0.2927759066990993,1.0,0.0015598306533449989,0.001312282986111111,候选掩膜/P2_整株去花盆,已评估,单提示词 P2 基线；复用四样本代表集 SAM3_P2 候选掩膜。
A0,SAM3单提示词P2,KongQueZhuYu,5,0.9806085462896663,0.9640689142377665,0.9722683948394714,0.962617576818623,0.9460333709282063,114.22754020690918,0.34788882867866794,0.4017491508636861,0.1909152073214325,1.0,0.007309098519386843,0.005283468364197531,候选掩膜/P2_整株去花盆,已评估,单提示词 P2 基线；复用四样本代表集 SAM3_P2 候选掩膜。
A1,旧多提示词选择,CaoMei1,5,0.996046832521434,0.5565517066659804,0.714095177300862,0.7487852712223672,0.5553250634848411,2023.4600614747742,0.24274645052975846,0.2579102224666112,0.859054274996664,0.6,0.0003037106929779471,0.0002669994212962963,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/e3_multisample_ablation_masks/A1_old_replayed,已评估-离线重放,由 RAP-FSAM3-v2 提示词评分离线重放旧 A1：old_score = 总分 - 语义门控总修正，并复制被选候选掩膜。
A1,旧多提示词选择,ChangShouHua2,5,0.9920620882019263,0.9552391692124008,0.9733024731873778,0.9644644239526557,0.947993394129419,61.14492816925049,0.432214701485724,0.4810458705466163,0.2056756914410738,1.0,0.002826642751173127,0.0020635127314814813,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/e3_multisample_ablation_masks/A1_old_replayed,已评估-离线重放,由 RAP-FSAM3-v2 提示词评分离线重放旧 A1：old_score = 总分 - 语义门控总修正，并复制被选候选掩膜。
A1,旧多提示词选择,DouBanLv1,5,0.9940729921123904,0.5546576752358139,0.7120285359414301,0.7373777946123441,0.5528294343554269,1836.7827594957093,0.26261259898064804,0.0,0.9576300290836544,0.6,0.0006238405453706566,0.0005248360339506173,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/e3_multisample_ablation_masks/A1_old_replayed,已评估-离线重放,由 RAP-FSAM3-v2 提示词评分离线重放旧 A1：old_score = 总分 - 语义门控总修正，并复制被选候选掩膜。
A1,旧多提示词选择,KongQueZhuYu,5,0.9806085462896663,0.9640689142377665,0.9722683948394714,0.962617576818623,0.9460333709282063,114.22754020690918,0.34788882867866794,0.4017491508636861,0.1909152073214325,1.0,0.007309098519386843,0.005283468364197531,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/e3_multisample_ablation_masks/A1_old_replayed,已评估-离线重放,由 RAP-FSAM3-v2 提示词评分离线重放旧 A1：old_score = 总分 - 语义门控总修正，并复制被选候选掩膜。
A1s,语义门控多提示词选择,CaoMei1,5,0.9960852326742754,0.9006327797084398,0.9459571808494478,0.9417487914919436,0.8974561219550738,500.20859298706057,0.41088591259946333,0.29755731854504497,0.18211044453490893,1.0,0.0004866831514675963,0.0004278549382716049,选择后掩膜,已评估,复用 RAP-FSAM3-v2 四样本运行的语义门控选择后掩膜。
A1s,语义门控多提示词选择,ChangShouHua2,5,0.9920620882019263,0.9552391692124008,0.9733024731873778,0.9644644239526557,0.947993394129419,61.14492816925049,0.432214701485724,0.4810458705466163,0.2056756914410738,1.0,0.002826642751173127,0.0020635127314814813,选择后掩膜,已评估,复用 RAP-FSAM3-v2 四样本运行的语义门控选择后掩膜。
