image,label,x,y,source
0000.jpg,1,1249,1664,distance_transform
0000.jpg,1,1203,1590,distance_transform
0000.jpg,1,1260,1751,distance_transform
0000.jpg,1,1273,1837,distance_transform
0000.jpg,1,1157,1281,distance_transform
0000.jpg,0,1600,221,outer_ring
0000.jpg,0,946,403,outer_ring
0000.jpg,0,848,668,outer_ring
0000.jpg,0,430,968,outer_ring
0000.jpg,0,1835,1208,outer_ring
0000.jpg,0,700,1550,outer_ring
0000.jpg,0,1676,2077,outer_ring
0000.jpg,0,1300,2423,outer_ring
0025.jpg,1,1045,1970,distance_transform
0025.jpg,1,1047,2056,distance_transform
0025.jpg,1,1007,1892,distance_transform
0025.jpg,1,1049,2142,distance_transform
0025.jpg,1,1048,2228,distance_transform
0025.jpg,0,1351,656,outer_ring
0025.jpg,0,999,825,outer_ring
0025.jpg,0,1211,1196,outer_ring
0025.jpg,0,1214,1348,outer_ring
0025.jpg,0,628,1494,outer_ring
0025.jpg,0,540,1807,outer_ring
0025.jpg,0,1403,2305,outer_ring
0025.jpg,0,1013,2629,outer_ring
0050.jpg,1,1236,2011,distance_transform
0050.jpg,1,1215,2097,distance_transform
0050.jpg,1,1279,1936,distance_transform
0050.jpg,1,1196,2183,distance_transform
0050.jpg,1,1286,1850,distance_transform
0050.jpg,0,994,1046,outer_ring
0050.jpg,0,877,1184,outer_ring
0050.jpg,0,1616,1362,outer_ring
0050.jpg,0,1013,1554,outer_ring
0050.jpg,0,1028,1736,outer_ring
0050.jpg,0,913,1992,outer_ring
0050.jpg,0,897,2346,outer_ring
0050.jpg,0,1218,2553,outer_ring
0075.jpg,1,895,2035,distance_transform
0075.jpg,1,868,1953,distance_transform
0075.jpg,1,886,2121,distance_transform
0075.jpg,1,878,2207,distance_transform
0075.jpg,1,867,2293,distance_transform
0075.jpg,0,693,804,outer_ring
0075.jpg,0,1324,978,outer_ring
0075.jpg,0,417,1316,outer_ring
0075.jpg,0,730,1432,outer_ring
0075.jpg,0,534,1634,outer_ring
0075.jpg,0,1354,1944,outer_ring
0075.jpg,0,509,2422,outer_ring
0075.jpg,0,801,2707,outer_ring
0100.jpg,1,875,1562,distance_transform
0100.jpg,1,881,1648,distance_transform
0100.jpg,1,865,1476,distance_transform
0100.jpg,1,883,1734,distance_transform
0100.jpg,1,845,1391,distance_transform
0100.jpg,0,1166,667,outer_ring
0100.jpg,0,1319,810,outer_ring
0100.jpg,0,253,931,outer_ring
0100.jpg,0,507,1131,outer_ring
0100.jpg,0,521,1330,outer_ring
0100.jpg,0,514,1575,outer_ring
0100.jpg,0,622,1929,outer_ring
0100.jpg,0,897,2146,outer_ring
