样本名,帧编号,提示词编号,提示词文本,F1,mIoU,HD95像素,边界F分数,面积比例,连通域数,时序IoU,外部非黑比例,泄漏能量,原图路径,掩膜路径,人工标注路径,失败类型,失败描述
KongQueZhuYu,0000,P1,green plant,0.801015,0.787528,648.879272,0.305869,0.158382,1,,0.000887,0.000679,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0000.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/候选掩膜/P1_绿色植物/mask_0000.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_KongQueZhuYu_0000.png,可用,掩膜整体可用，但仍需结合边界和泄漏指标判断
KongQueZhuYu,0000,P2,entire plant excluding pot,0.973508,0.966337,15.062300,0.337270,0.224789,1,,0.001048,0.000801,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0000.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/候选掩膜/P2_整株去花盆/mask_0000.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_KongQueZhuYu_0000.png,可用,掩膜整体可用，但仍需结合边界和泄漏指标判断
KongQueZhuYu,0000,P3,leaves and stems,0.760976,0.749421,648.444275,0.238202,0.172295,1,,0.022469,0.017180,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0000.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/候选掩膜/P3_叶和茎/mask_0000.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_KongQueZhuYu_0000.png,背景或花盆泄漏,GT 外前景像素较多，可能包含花盆、桌面或背景
KongQueZhuYu,0000,P4,crop seedling,0.000000,0.382311,4405.814340,0.000000,0.000000,0,,0.000000,0.000000,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0000.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/候选掩膜/P4_作物幼苗/mask_0000.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_KongQueZhuYu_0000.png,成熟植株欠分割,幼苗提示未覆盖非幼苗或成熟盆栽主体，输出近空掩膜
KongQueZhuYu,0000,P5,plant body without background,0.800612,0.787177,649.241272,0.341540,0.158246,1,,0.000884,0.000676,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0000.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/候选掩膜/P5_去背景植物体/mask_0000.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_KongQueZhuYu_0000.png,可用,掩膜整体可用，但仍需结合边界和泄漏指标判断
KongQueZhuYu,0025,P1,green plant,0.849636,0.807549,604.057678,0.363487,0.259339,1,0.325696,0.001080,0.000703,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0025.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/候选掩膜/P1_绿色植物/mask_0025.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_KongQueZhuYu_0025.png,可用,掩膜整体可用，但仍需结合边界和泄漏指标判断
KongQueZhuYu,0025,P2,entire plant excluding pot,0.959226,0.938617,163.966522,0.368214,0.365986,1,0.393320,0.035110,0.022840,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0025.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/候选掩膜/P2_整株去花盆/mask_0025.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_KongQueZhuYu_0025.png,背景或花盆泄漏,GT 外前景像素较多，可能包含花盆、桌面或背景
KongQueZhuYu,0025,P3,leaves and stems,0.849846,0.807740,605.017944,0.369321,0.259697,1,0.314309,0.001298,0.000844,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0025.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/候选掩膜/P3_叶和茎/mask_0025.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_KongQueZhuYu_0025.png,可用,掩膜整体可用，但仍需结合边界和泄漏指标判断
KongQueZhuYu,0025,P4,crop seedling,0.000000,0.325261,4405.814340,0.000000,0.000000,0,0.000000,0.000000,0.000000,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0025.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/候选掩膜/P4_作物幼苗/mask_0025.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_KongQueZhuYu_0025.png,成熟植株欠分割,幼苗提示未覆盖非幼苗或成熟盆栽主体，输出近空掩膜
KongQueZhuYu,0025,P5,plant body without background,0.849842,0.807761,603.158447,0.379601,0.259513,1,0.322789,0.001137,0.000740,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0025.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/候选掩膜/P5_去背景植物体/mask_0025.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_KongQueZhuYu_0025.png,可用,掩膜整体可用，但仍需结合边界和泄漏指标判断
