样本名,提示词编号,提示词文本,帧数,F1,mIoU,HD95像素,边界F分数,时序IoU,面积变异系数,每帧连通域数,外部非黑比例,泄漏能量,主要现象
KongQueZhuYu,P1,green plant,5,0.875502,0.850033,466.605672,0.321659,0.367388,0.246207,1.000000,0.000976,0.000705,召回不足，部分样本偏保守
KongQueZhuYu,P2,entire plant excluding pot,5,0.972268,0.962618,114.227540,0.347889,0.401749,0.190915,1.000000,0.007309,0.005283,四样本中最稳，但仍存在边界误差和少量泄漏
KongQueZhuYu,P3,leaves and stems,5,0.756112,0.737475,1282.976175,0.258789,0.208212,0.577582,0.800000,0.005396,0.003901,多样本主体召回不足或空掩膜
KongQueZhuYu,P4,crop seedling,5,0.000000,0.361431,4405.814340,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,非幼苗/成熟盆栽形态下系统性欠分割
KongQueZhuYu,P5,plant body without background,5,0.672768,0.673824,2023.139616,0.212296,0.080697,0.871575,0.600000,0.000527,0.000381,去背景语义过保守，多样本空掩膜
DouBanLv1,P1,green plant,5,0.741671,0.758482,673.598901,0.353864,0.314969,0.331467,1.000000,0.001332,0.001121,召回不足，部分样本偏保守
DouBanLv1,P2,entire plant excluding pot,5,0.974174,0.970074,99.264828,0.429294,0.388459,0.292776,1.000000,0.001560,0.001312,四样本中最稳，但仍存在边界误差和少量泄漏
DouBanLv1,P3,leaves and stems,5,0.323460,0.530378,3727.479463,0.060707,0.000000,2.000000,0.200000,0.000066,0.000056,多样本主体召回不足或空掩膜
DouBanLv1,P4,crop seedling,5,0.000000,0.420649,4405.814340,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,非幼苗/成熟盆栽形态下系统性欠分割
DouBanLv1,P5,plant body without background,5,0.000000,0.420649,4405.814340,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,去背景语义过保守，多样本空掩膜
ChangShouHua2,P1,green plant,5,0.827888,0.803802,585.921747,0.355318,0.399921,0.277717,1.000000,0.002285,0.001668,召回不足，部分样本偏保守
ChangShouHua2,P2,entire plant excluding pot,5,0.973302,0.964464,61.144928,0.432215,0.481046,0.205676,1.000000,0.002827,0.002064,四样本中最稳，但仍存在边界误差和少量泄漏
ChangShouHua2,P3,leaves and stems,5,0.756080,0.740138,1300.484127,0.292216,0.233527,0.571482,0.800000,0.002144,0.001565,多样本主体召回不足或空掩膜
ChangShouHua2,P4,crop seedling,5,0.000000,0.365011,4405.814340,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,非幼苗/成熟盆栽形态下系统性欠分割
ChangShouHua2,P5,plant body without background,5,0.294793,0.469172,3691.178706,0.066857,0.000000,2.000000,0.200000,0.000448,0.000327,去背景语义过保守，多样本空掩膜
CaoMei1,P1,green plant,5,0.568019,0.659921,1015.496619,0.294336,0.122340,0.195420,1.000000,0.000382,0.000336,召回不足，部分样本偏保守
CaoMei1,P2,entire plant excluding pot,5,0.945957,0.941749,500.208593,0.410886,0.297557,0.182110,1.000000,0.000487,0.000428,四样本中最稳，但仍存在边界误差和少量泄漏
CaoMei1,P3,leaves and stems,5,0.414779,0.584638,2404.831693,0.195736,0.042337,0.829429,0.600000,0.000311,0.000273,多样本主体召回不足或空掩膜
CaoMei1,P4,crop seedling,5,0.428286,0.590691,2473.509086,0.169078,0.043534,0.821234,0.600000,0.000265,0.000233,非幼苗/成熟盆栽形态下系统性欠分割
CaoMei1,P5,plant body without background,5,0.316955,0.543889,3099.772149,0.124542,0.042367,1.225290,0.400000,0.000196,0.000173,去背景语义过保守，多样本空掩膜
