sample,frame_id,frame,selected_prompt_old_a1,old_a1_score,semantic_gate_total_correction,a1s_total_score,candidate_mask,replayed_mask
KongQueZhuYu,0000,KongQueZhuYu_0000,P2,0.7563640091851446,0.412445792503756,1.1688098016889006,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/候选掩膜/P2_整株去花盆/mask_0000.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/e3_multisample_ablation_masks/A1_old_replayed/mask_KongQueZhuYu_0000.png
KongQueZhuYu,0025,KongQueZhuYu_0025,P2,0.6713168871022747,0.5513176203479576,1.2226345074502323,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/候选掩膜/P2_整株去花盆/mask_0025.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/e3_multisample_ablation_masks/A1_old_replayed/mask_KongQueZhuYu_0025.png
KongQueZhuYu,0050,KongQueZhuYu_0050,P2,0.5936994492741761,0.409425436200102,1.003124885474278,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/候选掩膜/P2_整株去花盆/mask_0050.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/e3_multisample_ablation_masks/A1_old_replayed/mask_KongQueZhuYu_0050.png
KongQueZhuYu,0075,KongQueZhuYu_0075,P2,0.6431032756485802,0.426641129076821,1.0697444047254012,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/候选掩膜/P2_整株去花盆/mask_0075.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/e3_multisample_ablation_masks/A1_old_replayed/mask_KongQueZhuYu_0075.png
KongQueZhuYu,0100,KongQueZhuYu_0100,P2,0.6571258544917548,0.5299472427018138,1.1870730971935686,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/候选掩膜/P2_整株去花盆/mask_0100.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/e3_multisample_ablation_masks/A1_old_replayed/mask_KongQueZhuYu_0100.png
DouBanLv1,0000,DouBanLv1_0000,P2,0.8565932086567988,0.4195061682675666,1.2760993769243654,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/DouBanLv1/候选掩膜/P2_整株去花盆/mask_0000.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/e3_multisample_ablation_masks/A1_old_replayed/mask_DouBanLv1_0000.png
DouBanLv1,0025,DouBanLv1_0025,P4,0.5904761904761905,0.0,0.5904761904761905,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/DouBanLv1/候选掩膜/P4_作物幼苗/mask_0025.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/e3_multisample_ablation_masks/A1_old_replayed/mask_DouBanLv1_0025.png
DouBanLv1,0050,DouBanLv1_0050,P2,0.677156732895931,0.5646892223485463,1.2418459552444774,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/DouBanLv1/候选掩膜/P2_整株去花盆/mask_0050.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/e3_multisample_ablation_masks/A1_old_replayed/mask_DouBanLv1_0050.png
DouBanLv1,0075,DouBanLv1_0075,P3,0.5904761904761905,0.0,0.5904761904761905,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/DouBanLv1/候选掩膜/P3_叶和茎/mask_0075.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/e3_multisample_ablation_masks/A1_old_replayed/mask_DouBanLv1_0075.png
DouBanLv1,0100,DouBanLv1_0100,P2,0.6773959929070471,0.37810319445492657,1.0554991873619737,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/DouBanLv1/候选掩膜/P2_整株去花盆/mask_0100.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/e3_multisample_ablation_masks/A1_old_replayed/mask_DouBanLv1_0100.png
