figure,row_key,panel_order,panel_key,panel_label,png_path,tif_path,crop_x0,crop_y0,crop_x1,crop_y1,crop_width,crop_height
Fig_E3v2_A1s_A5c_mechanisms,XianKeLai1_0000_A1_old_vs_A1s,1,rgb_gt,RGB + GT,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验三_RAP-FSAM3v2新版图板/individual_panels/Fig_E3v2_A1s_A5c_mechanisms/XianKeLai1_0000_A1_old_vs_A1s/01_rgb_gt.png,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验三_RAP-FSAM3v2新版图板/individual_panels/Fig_E3v2_A1s_A5c_mechanisms/XianKeLai1_0000_A1_old_vs_A1s/01_rgb_gt.tif,0,13,2160,2944,2160,2931
Fig_E3v2_A1s_A5c_mechanisms,XianKeLai1_0000_A1_old_vs_A1s,2,before_mask,A1 old mask,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验三_RAP-FSAM3v2新版图板/individual_panels/Fig_E3v2_A1s_A5c_mechanisms/XianKeLai1_0000_A1_old_vs_A1s/02_before_mask.png,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验三_RAP-FSAM3v2新版图板/individual_panels/Fig_E3v2_A1s_A5c_mechanisms/XianKeLai1_0000_A1_old_vs_A1s/02_before_mask.tif,0,13,2160,2944,2160,2931
Fig_E3v2_A1s_A5c_mechanisms,XianKeLai1_0000_A1_old_vs_A1s,3,before_error,A1 old error,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验三_RAP-FSAM3v2新版图板/individual_panels/Fig_E3v2_A1s_A5c_mechanisms/XianKeLai1_0000_A1_old_vs_A1s/03_before_error.png,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验三_RAP-FSAM3v2新版图板/individual_panels/Fig_E3v2_A1s_A5c_mechanisms/XianKeLai1_0000_A1_old_vs_A1s/03_before_error.tif,0,13,2160,2944,2160,2931
Fig_E3v2_A1s_A5c_mechanisms,XianKeLai1_0000_A1_old_vs_A1s,4,after_mask,A1s mask,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验三_RAP-FSAM3v2新版图板/individual_panels/Fig_E3v2_A1s_A5c_mechanisms/XianKeLai1_0000_A1_old_vs_A1s/04_after_mask.png,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验三_RAP-FSAM3v2新版图板/individual_panels/Fig_E3v2_A1s_A5c_mechanisms/XianKeLai1_0000_A1_old_vs_A1s/04_after_mask.tif,0,13,2160,2944,2160,2931
Fig_E3v2_A1s_A5c_mechanisms,XianKeLai1_0000_A1_old_vs_A1s,5,after_error,A1s error,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验三_RAP-FSAM3v2新版图板/individual_panels/Fig_E3v2_A1s_A5c_mechanisms/XianKeLai1_0000_A1_old_vs_A1s/05_after_error.png,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验三_RAP-FSAM3v2新版图板/individual_panels/Fig_E3v2_A1s_A5c_mechanisms/XianKeLai1_0000_A1_old_vs_A1s/05_after_error.tif,0,13,2160,2944,2160,2931
Fig_E3v2_A1s_A5c_mechanisms,XianKeLai1_0000_A1_old_vs_A1s,6,delta,A1s - A1,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验三_RAP-FSAM3v2新版图板/individual_panels/Fig_E3v2_A1s_A5c_mechanisms/XianKeLai1_0000_A1_old_vs_A1s/06_delta.png,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验三_RAP-FSAM3v2新版图板/individual_panels/Fig_E3v2_A1s_A5c_mechanisms/XianKeLai1_0000_A1_old_vs_A1s/06_delta.tif,0,13,2160,2944,2160,2931
Fig_E3v2_A1s_A5c_mechanisms,KongQueZhuYu_0100_A2_vs_A5c,1,rgb_gt,RGB + GT,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验三_RAP-FSAM3v2新版图板/individual_panels/Fig_E3v2_A1s_A5c_mechanisms/KongQueZhuYu_0100_A2_vs_A5c/01_rgb_gt.png,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验三_RAP-FSAM3v2新版图板/individual_panels/Fig_E3v2_A1s_A5c_mechanisms/KongQueZhuYu_0100_A2_vs_A5c/01_rgb_gt.tif,0,103,2160,3018,2160,2915
Fig_E3v2_A1s_A5c_mechanisms,KongQueZhuYu_0100_A2_vs_A5c,2,before_mask,A2 mask,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验三_RAP-FSAM3v2新版图板/individual_panels/Fig_E3v2_A1s_A5c_mechanisms/KongQueZhuYu_0100_A2_vs_A5c/02_before_mask.png,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验三_RAP-FSAM3v2新版图板/individual_panels/Fig_E3v2_A1s_A5c_mechanisms/KongQueZhuYu_0100_A2_vs_A5c/02_before_mask.tif,0,103,2160,3018,2160,2915
Fig_E3v2_A1s_A5c_mechanisms,KongQueZhuYu_0100_A2_vs_A5c,3,before_error,A2 error,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验三_RAP-FSAM3v2新版图板/individual_panels/Fig_E3v2_A1s_A5c_mechanisms/KongQueZhuYu_0100_A2_vs_A5c/03_before_error.png,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验三_RAP-FSAM3v2新版图板/individual_panels/Fig_E3v2_A1s_A5c_mechanisms/KongQueZhuYu_0100_A2_vs_A5c/03_before_error.tif,0,103,2160,3018,2160,2915
Fig_E3v2_A1s_A5c_mechanisms,KongQueZhuYu_0100_A2_vs_A5c,4,after_mask,A5c mask,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验三_RAP-FSAM3v2新版图板/individual_panels/Fig_E3v2_A1s_A5c_mechanisms/KongQueZhuYu_0100_A2_vs_A5c/04_after_mask.png,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验三_RAP-FSAM3v2新版图板/individual_panels/Fig_E3v2_A1s_A5c_mechanisms/KongQueZhuYu_0100_A2_vs_A5c/04_after_mask.tif,0,103,2160,3018,2160,2915
