asset_type,name,path
source_data,实验五_人工虚拟表型汇总.csv,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验五_掩膜到表型误差敏感性/source_data/实验五_人工虚拟表型汇总.csv
source_data,实验五_掩膜到表型误差结果表.csv,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验五_掩膜到表型误差敏感性/source_data/实验五_掩膜到表型误差结果表.csv
source_data,phenotype_pair_errors.csv,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验五_掩膜到表型误差敏感性/source_data/phenotype_pair_errors.csv
source_data,trait_sensitivity_ranking.csv,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验五_掩膜到表型误差敏感性/source_data/trait_sensitivity_ranking.csv
source_data,strict_multimask_status.csv,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验五_掩膜到表型误差敏感性/source_data/strict_multimask_status.csv
trait_profile_png,Fig_E5_trait_error_profile.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验五_掩膜到表型误差敏感性/figures/Fig_E5_trait_error_profile.png
trait_profile_pdf,Fig_E5_trait_error_profile.pdf,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验五_掩膜到表型误差敏感性/figures/Fig_E5_trait_error_profile.pdf
trait_profile_svg,Fig_E5_trait_error_profile.svg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验五_掩膜到表型误差敏感性/figures/Fig_E5_trait_error_profile.svg
trait_profile_tif,Fig_E5_trait_error_profile.tif,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验五_掩膜到表型误差敏感性/figures/Fig_E5_trait_error_profile.tif
error_distribution_png,Fig_E5_error_distribution.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验五_掩膜到表型误差敏感性/figures/Fig_E5_error_distribution.png
error_distribution_pdf,Fig_E5_error_distribution.pdf,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验五_掩膜到表型误差敏感性/figures/Fig_E5_error_distribution.pdf
error_distribution_svg,Fig_E5_error_distribution.svg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验五_掩膜到表型误差敏感性/figures/Fig_E5_error_distribution.svg
error_distribution_tif,Fig_E5_error_distribution.tif,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验五_掩膜到表型误差敏感性/figures/Fig_E5_error_distribution.tif
readme,图板说明.md,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验五_掩膜到表型误差敏感性/图板说明.md
