sample,trait,replicate,manual,virtual,error,abs_error,ape_percent
橡皮树,株高,1,44.8,42.57,-2.229999999999997,2.229999999999997,4.977678571428565
橡皮树,冠幅,1,30.6,30.94,0.33999999999999986,0.33999999999999986,1.1111111111111107
橡皮树,叶长,1,14.74,14.27,-0.47000000000000064,0.47000000000000064,3.18860244233379
橡皮树,叶宽,1,8.3,9.54,1.2399999999999984,1.2399999999999984,14.93975903614456
橡皮树,叶长,2,12.3,12.72,0.41999999999999993,0.41999999999999993,3.414634146341463
橡皮树,叶宽,2,7.11,7.22,0.10999999999999943,0.10999999999999943,1.5471167369901466
橡皮树,叶长,3,16.1,16.5,0.3999999999999986,0.3999999999999986,2.484472049689432
橡皮树,叶宽,3,8.42,8.3,-0.11999999999999922,0.11999999999999922,1.4251781472683993
橡皮树,株高,1,35.4,36.7,1.3000000000000043,1.3000000000000043,3.672316384180803
橡皮树,冠幅,1,29.8,30.6,0.8000000000000007,0.8000000000000007,2.684563758389264
橡皮树,叶长,1,12.48,12.68,0.1999999999999993,0.1999999999999993,1.6025641025640969
橡皮树,叶宽,1,6.98,8.7,1.7199999999999989,1.7199999999999989,24.641833810888233
橡皮树,叶长,2,14.96,13.75,-1.2100000000000009,1.2100000000000009,8.088235294117652
橡皮树,叶宽,2,6.91,8.21,1.3000000000000007,1.3000000000000007,18.81331403762664
橡皮树,叶长,3,13.51,14.65,1.1400000000000006,1.1400000000000006,8.438193930421914
橡皮树,叶宽,3,7.19,6.54,-0.6500000000000004,0.6500000000000004,9.0403337969402
白掌,株高,1,35.6,34.9,-0.7000000000000028,0.7000000000000028,1.9662921348314686
白掌,冠幅,1,42.5,43.25,0.75,0.75,1.7647058823529411
白掌,叶长,1,13.5,12.79,-0.7100000000000009,0.7100000000000009,5.259259259259266
白掌,叶宽,1,3.89,4.07,0.18000000000000016,0.18000000000000016,4.627249357326482
白掌,叶长,2,16.1,17.8,1.6999999999999993,1.6999999999999993,10.559006211180119
白掌,叶宽,2,4.6,5.0,0.40000000000000036,0.40000000000000036,8.695652173913052
白掌,叶长,3,13.8,14.27,0.46999999999999886,0.46999999999999886,3.405797101449267
白掌,叶宽,3,4.3,4.61,0.3100000000000005,0.3100000000000005,7.209302325581407
红掌,株高,1,30.2,32.4,2.1999999999999993,2.1999999999999993,7.284768211920528
红掌,冠幅,1,38.9,40.51,1.6099999999999994,1.6099999999999994,4.138817480719793
