sample,frame,image,gt_mask,source_image,gt_json,width,height,gt_area_ratio,num_shapes,target_definition
KongQueZhuYu,0000,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0000.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_KongQueZhuYu_0000.png,/data/fj/F2DMAS/03-GT/KongQueZhuYu/0000.jpg,/data/fj/F2DMAS/03-GT/KongQueZhuYu/0000.json,2160,3840,0.23537772472993826,2,project LabelMe GT foreground: union of closed target-object linestrips
KongQueZhuYu,0025,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0025.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_KongQueZhuYu_0025.png,/data/fj/F2DMAS/03-GT/KongQueZhuYu/0025.jpg,/data/fj/F2DMAS/03-GT/KongQueZhuYu/0025.json,2160,3840,0.34947832272376544,1,project LabelMe GT foreground: union of closed target-object linestrips
KongQueZhuYu,0050,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0050.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_KongQueZhuYu_0050.png,/data/fj/F2DMAS/03-GT/KongQueZhuYu/0050.jpg,/data/fj/F2DMAS/03-GT/KongQueZhuYu/0050.json,2160,3840,0.23626073013117285,2,project LabelMe GT foreground: union of closed target-object linestrips
KongQueZhuYu,0075,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0075.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_KongQueZhuYu_0075.png,/data/fj/F2DMAS/03-GT/KongQueZhuYu/0075.jpg,/data/fj/F2DMAS/03-GT/KongQueZhuYu/0075.json,2160,3840,0.26746358989197533,2,project LabelMe GT foreground: union of closed target-object linestrips
KongQueZhuYu,0100,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0100.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_KongQueZhuYu_0100.png,/data/fj/F2DMAS/03-GT/KongQueZhuYu/0100.jpg,/data/fj/F2DMAS/03-GT/KongQueZhuYu/0100.json,2160,3840,0.29711046006944447,2,project LabelMe GT foreground: union of closed target-object linestrips
DouBanLv1,0000,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/DouBanLv1_0000.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_DouBanLv1_0000.png,/data/fj/F2DMAS/03-GT/DouBanLv1/0000.jpg,/data/fj/F2DMAS/03-GT/DouBanLv1/0000.json,2160,3840,0.24152054398148148,2,project LabelMe GT foreground: union of closed target-object linestrips
DouBanLv1,0025,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/DouBanLv1_0025.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_DouBanLv1_0025.png,/data/fj/F2DMAS/03-GT/DouBanLv1/0025.jpg,/data/fj/F2DMAS/03-GT/DouBanLv1/0025.json,2160,3840,0.16850754726080247,2,project LabelMe GT foreground: union of closed target-object linestrips
DouBanLv1,0050,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/DouBanLv1_0050.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_DouBanLv1_0050.png,/data/fj/F2DMAS/03-GT/DouBanLv1/0050.jpg,/data/fj/F2DMAS/03-GT/DouBanLv1/0050.json,2160,3840,0.10897051022376543,1,project LabelMe GT foreground: union of closed target-object linestrips
DouBanLv1,0075,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/DouBanLv1_0075.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_DouBanLv1_0075.png,/data/fj/F2DMAS/03-GT/DouBanLv1/0075.jpg,/data/fj/F2DMAS/03-GT/DouBanLv1/0075.json,2160,3840,0.16441382137345678,2,project LabelMe GT foreground: union of closed target-object linestrips
DouBanLv1,0100,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/DouBanLv1_0100.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_DouBanLv1_0100.png,/data/fj/F2DMAS/03-GT/DouBanLv1/0100.jpg,/data/fj/F2DMAS/03-GT/DouBanLv1/0100.json,2160,3840,0.11009572723765432,2,project LabelMe GT foreground: union of closed target-object linestrips
