model,method_dir,fold,sample,frame,train_samples,train_frames,protocol,weights,image,gt_mask,pred_mask,threshold,foreground_ratio,prob_mean
DeepLabv3+ lite,DeepLabV3PlusLite_fewshot_seqcv,1,CaoMei1,0000,"ChangShouHua2,DouBanLv1,KongQueZhuYu",15,leave-one-sequence-out few-shot training on benchmark manifest,random initialization; no external pretraining,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/CaoMei1_0000.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_CaoMei1_0000.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/DeepLabV3PlusLite_fewshot_seqcv/mask_CaoMei1_0000.png,0.5,0.13152994791666667,0.13216304779052734
DeepLabv3+ lite,DeepLabV3PlusLite_fewshot_seqcv,1,CaoMei1,0025,"ChangShouHua2,DouBanLv1,KongQueZhuYu",15,leave-one-sequence-out few-shot training on benchmark manifest,random initialization; no external pretraining,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/CaoMei1_0025.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_CaoMei1_0025.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/DeepLabV3PlusLite_fewshot_seqcv/mask_CaoMei1_0025.png,0.5,0.1425612461419753,0.14501962065696716
DeepLabv3+ lite,DeepLabV3PlusLite_fewshot_seqcv,1,CaoMei1,0050,"ChangShouHua2,DouBanLv1,KongQueZhuYu",15,leave-one-sequence-out few-shot training on benchmark manifest,random initialization; no external pretraining,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/CaoMei1_0050.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_CaoMei1_0050.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/DeepLabV3PlusLite_fewshot_seqcv/mask_CaoMei1_0050.png,0.5,0.09311692226080247,0.09365358203649521
DeepLabv3+ lite,DeepLabV3PlusLite_fewshot_seqcv,1,CaoMei1,0075,"ChangShouHua2,DouBanLv1,KongQueZhuYu",15,leave-one-sequence-out few-shot training on benchmark manifest,random initialization; no external pretraining,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/CaoMei1_0075.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_CaoMei1_0075.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/DeepLabV3PlusLite_fewshot_seqcv/mask_CaoMei1_0075.png,0.5,0.10549358603395062,0.10603225231170654
DeepLabv3+ lite,DeepLabV3PlusLite_fewshot_seqcv,1,CaoMei1,0100,"ChangShouHua2,DouBanLv1,KongQueZhuYu",15,leave-one-sequence-out few-shot training on benchmark manifest,random initialization; no external pretraining,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/CaoMei1_0100.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_CaoMei1_0100.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/DeepLabV3PlusLite_fewshot_seqcv/mask_CaoMei1_0100.png,0.5,0.13491765528549382,0.13542506098747253
DeepLabv3+ lite,DeepLabV3PlusLite_fewshot_seqcv,2,ChangShouHua2,0000,"CaoMei1,DouBanLv1,KongQueZhuYu",15,leave-one-sequence-out few-shot training on benchmark manifest,random initialization; no external pretraining,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/ChangShouHua2_0000.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_ChangShouHua2_0000.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/DeepLabV3PlusLite_fewshot_seqcv/mask_ChangShouHua2_0000.png,0.5,0.3149385127314815,0.3144855201244354
DeepLabv3+ lite,DeepLabV3PlusLite_fewshot_seqcv,2,ChangShouHua2,0025,"CaoMei1,DouBanLv1,KongQueZhuYu",15,leave-one-sequence-out few-shot training on benchmark manifest,random initialization; no external pretraining,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/ChangShouHua2_0025.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_ChangShouHua2_0025.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/DeepLabV3PlusLite_fewshot_seqcv/mask_ChangShouHua2_0025.png,0.5,0.25112509645061726,0.25201544165611267
DeepLabv3+ lite,DeepLabV3PlusLite_fewshot_seqcv,2,ChangShouHua2,0050,"CaoMei1,DouBanLv1,KongQueZhuYu",15,leave-one-sequence-out few-shot training on benchmark manifest,random initialization; no external pretraining,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/ChangShouHua2_0050.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_ChangShouHua2_0050.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/DeepLabV3PlusLite_fewshot_seqcv/mask_ChangShouHua2_0050.png,0.5,0.07321108217592592,0.07606492936611176
DeepLabv3+ lite,DeepLabV3PlusLite_fewshot_seqcv,2,ChangShouHua2,0075,"CaoMei1,DouBanLv1,KongQueZhuYu",15,leave-one-sequence-out few-shot training on benchmark manifest,random initialization; no external pretraining,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/ChangShouHua2_0075.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_ChangShouHua2_0075.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/DeepLabV3PlusLite_fewshot_seqcv/mask_ChangShouHua2_0075.png,0.5,0.2339918499228395,0.2339918315410614
DeepLabv3+ lite,DeepLabV3PlusLite_fewshot_seqcv,2,ChangShouHua2,0100,"CaoMei1,DouBanLv1,KongQueZhuYu",15,leave-one-sequence-out few-shot training on benchmark manifest,random initialization; no external pretraining,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/ChangShouHua2_0100.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_ChangShouHua2_0100.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/DeepLabV3PlusLite_fewshot_seqcv/mask_ChangShouHua2_0100.png,0.5,0.30131221064814817,0.3012833893299103
