sample,frame,image,mask,prompt_source,box_xyxy,score,foreground_ratio
KongQueZhuYu,0000,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0000.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM2_oracle_box/mask_KongQueZhuYu_0000.png,manual_gt_bbox_oracle,18.0 509.0 2159.0 2965.0,0.88671875,0.16009343653549382
KongQueZhuYu,0025,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0025.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM2_oracle_box/mask_KongQueZhuYu_0025.png,manual_gt_bbox_oracle,0.0 729.0 2159.0 3271.0,0.98046875,0.33485761477623455
KongQueZhuYu,0050,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0050.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM2_oracle_box/mask_KongQueZhuYu_0050.png,manual_gt_bbox_oracle,0.0 883.0 1946.0 3148.0,0.9609375,0.1930442226080247
KongQueZhuYu,0075,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0075.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM2_oracle_box/mask_KongQueZhuYu_0075.png,manual_gt_bbox_oracle,0.0 208.0 1672.0 2953.0,0.96484375,0.25991415895061726
KongQueZhuYu,0100,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0100.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM2_oracle_box/mask_KongQueZhuYu_0100.png,manual_gt_bbox_oracle,210.0 309.0 2159.0 2811.0,0.98828125,0.2913480179398148
DouBanLv1,0000,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/DouBanLv1_0000.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM2_oracle_box/mask_DouBanLv1_0000.png,manual_gt_bbox_oracle,185.0 156.0 1900.0 3144.0,0.94921875,0.3082349537037037
DouBanLv1,0025,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/DouBanLv1_0025.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM2_oracle_box/mask_DouBanLv1_0025.png,manual_gt_bbox_oracle,0.0 582.0 1725.0 2754.0,0.94140625,0.18502580054012346
DouBanLv1,0050,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/DouBanLv1_0050.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM2_oracle_box/mask_DouBanLv1_0050.png,manual_gt_bbox_oracle,818.0 981.0 1940.0 2611.0,0.9296875,0.09168523341049382
DouBanLv1,0075,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/DouBanLv1_0075.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM2_oracle_box/mask_DouBanLv1_0075.png,manual_gt_bbox_oracle,143.0 736.0 1793.0 2777.0,0.96484375,0.15871937692901233
DouBanLv1,0100,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/DouBanLv1_0100.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM2_oracle_box/mask_DouBanLv1_0100.png,manual_gt_bbox_oracle,206.0 605.0 1407.0 2568.0,0.9453125,0.10664617091049383
