model,method_dir,fold,sample,frame,train_samples,train_frames,protocol,weights,image,gt_mask,pred_mask,threshold,foreground_ratio,prob_mean
U-Net,UNet_fewshot_seqcv,1,CaoMei1,0000,"ChangShouHua2,DouBanLv1,KongQueZhuYu",15,leave-one-sequence-out few-shot training on benchmark manifest,random initialization; no external pretraining,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/CaoMei1_0000.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_CaoMei1_0000.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/UNet_fewshot_seqcv/mask_CaoMei1_0000.png,0.5,0.11401921778549383,0.1230987012386322
U-Net,UNet_fewshot_seqcv,1,CaoMei1,0025,"ChangShouHua2,DouBanLv1,KongQueZhuYu",15,leave-one-sequence-out few-shot training on benchmark manifest,random initialization; no external pretraining,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/CaoMei1_0025.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_CaoMei1_0025.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/UNet_fewshot_seqcv/mask_CaoMei1_0025.png,0.5,0.20655056423611112,0.20950521528720856
U-Net,UNet_fewshot_seqcv,1,CaoMei1,0050,"ChangShouHua2,DouBanLv1,KongQueZhuYu",15,leave-one-sequence-out few-shot training on benchmark manifest,random initialization; no external pretraining,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/CaoMei1_0050.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_CaoMei1_0050.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/UNet_fewshot_seqcv/mask_CaoMei1_0050.png,0.5,0.11291473765432099,0.12138769775629044
U-Net,UNet_fewshot_seqcv,1,CaoMei1,0075,"ChangShouHua2,DouBanLv1,KongQueZhuYu",15,leave-one-sequence-out few-shot training on benchmark manifest,random initialization; no external pretraining,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/CaoMei1_0075.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_CaoMei1_0075.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/UNet_fewshot_seqcv/mask_CaoMei1_0075.png,0.5,0.10715217496141975,0.11481580138206482
U-Net,UNet_fewshot_seqcv,1,CaoMei1,0100,"ChangShouHua2,DouBanLv1,KongQueZhuYu",15,leave-one-sequence-out few-shot training on benchmark manifest,random initialization; no external pretraining,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/CaoMei1_0100.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_CaoMei1_0100.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/UNet_fewshot_seqcv/mask_CaoMei1_0100.png,0.5,0.1433299575617284,0.1499062031507492
U-Net,UNet_fewshot_seqcv,2,ChangShouHua2,0000,"CaoMei1,DouBanLv1,KongQueZhuYu",15,leave-one-sequence-out few-shot training on benchmark manifest,random initialization; no external pretraining,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/ChangShouHua2_0000.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_ChangShouHua2_0000.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/UNet_fewshot_seqcv/mask_ChangShouHua2_0000.png,0.5,0.34592086226851854,0.34788382053375244
U-Net,UNet_fewshot_seqcv,2,ChangShouHua2,0025,"CaoMei1,DouBanLv1,KongQueZhuYu",15,leave-one-sequence-out few-shot training on benchmark manifest,random initialization; no external pretraining,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/ChangShouHua2_0025.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_ChangShouHua2_0025.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/UNet_fewshot_seqcv/mask_ChangShouHua2_0025.png,0.5,0.21241849922839506,0.21831423044204712
U-Net,UNet_fewshot_seqcv,2,ChangShouHua2,0050,"CaoMei1,DouBanLv1,KongQueZhuYu",15,leave-one-sequence-out few-shot training on benchmark manifest,random initialization; no external pretraining,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/ChangShouHua2_0050.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_ChangShouHua2_0050.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/UNet_fewshot_seqcv/mask_ChangShouHua2_0050.png,0.5,0.11459165219907408,0.12015042454004288
U-Net,UNet_fewshot_seqcv,2,ChangShouHua2,0075,"CaoMei1,DouBanLv1,KongQueZhuYu",15,leave-one-sequence-out few-shot training on benchmark manifest,random initialization; no external pretraining,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/ChangShouHua2_0075.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_ChangShouHua2_0075.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/UNet_fewshot_seqcv/mask_ChangShouHua2_0075.png,0.5,0.19979106385030865,0.20247070491313934
U-Net,UNet_fewshot_seqcv,2,ChangShouHua2,0100,"CaoMei1,DouBanLv1,KongQueZhuYu",15,leave-one-sequence-out few-shot training on benchmark manifest,random initialization; no external pretraining,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/ChangShouHua2_0100.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_ChangShouHua2_0100.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/UNet_fewshot_seqcv/mask_ChangShouHua2_0100.png,0.5,0.2959125434027778,0.30069881677627563
