method,sample,frame,source_mask,imported_mask,status
SAM_existing,KongQueZhuYu,0000,/data/fj/F2DMAS/03-SAM/KongQueZhuYu/mask_0000.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM_existing/mask_KongQueZhuYu_0000.png,ok
SEEM_existing,KongQueZhuYu,0000,/data/fj/F2DMAS/03-SEEM/KongQueZhuYu/0000.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SEEM_existing/mask_KongQueZhuYu_0000.png,ok
SAM_existing,KongQueZhuYu,0025,/data/fj/F2DMAS/03-SAM/KongQueZhuYu/mask_0025.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM_existing/mask_KongQueZhuYu_0025.png,ok
SEEM_existing,KongQueZhuYu,0025,/data/fj/F2DMAS/03-SEEM/KongQueZhuYu/0025.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SEEM_existing/mask_KongQueZhuYu_0025.png,ok
SAM_existing,KongQueZhuYu,0050,/data/fj/F2DMAS/03-SAM/KongQueZhuYu/mask_0050.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM_existing/mask_KongQueZhuYu_0050.png,ok
SEEM_existing,KongQueZhuYu,0050,/data/fj/F2DMAS/03-SEEM/KongQueZhuYu/0050.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SEEM_existing/mask_KongQueZhuYu_0050.png,ok
SAM_existing,KongQueZhuYu,0075,/data/fj/F2DMAS/03-SAM/KongQueZhuYu/mask_0075.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM_existing/mask_KongQueZhuYu_0075.png,ok
SEEM_existing,KongQueZhuYu,0075,/data/fj/F2DMAS/03-SEEM/KongQueZhuYu/0075.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SEEM_existing/mask_KongQueZhuYu_0075.png,ok
SAM_existing,KongQueZhuYu,0100,/data/fj/F2DMAS/03-SAM/KongQueZhuYu/mask_0100.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM_existing/mask_KongQueZhuYu_0100.png,ok
SEEM_existing,KongQueZhuYu,0100,/data/fj/F2DMAS/03-SEEM/KongQueZhuYu/0100.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SEEM_existing/mask_KongQueZhuYu_0100.png,ok
SAM_existing,DouBanLv1,0000,/data/fj/F2DMAS/03-SAM/DouBanLv1/mask_0000.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM_existing/mask_DouBanLv1_0000.png,ok
SEEM_existing,DouBanLv1,0000,/data/fj/F2DMAS/03-SEEM/DouBanLv1/0000.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SEEM_existing/mask_DouBanLv1_0000.png,ok
SAM_existing,DouBanLv1,0025,/data/fj/F2DMAS/03-SAM/DouBanLv1/mask_0025.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM_existing/mask_DouBanLv1_0025.png,ok
SEEM_existing,DouBanLv1,0025,/data/fj/F2DMAS/03-SEEM/DouBanLv1/0025.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SEEM_existing/mask_DouBanLv1_0025.png,ok
SAM_existing,DouBanLv1,0050,/data/fj/F2DMAS/03-SAM/DouBanLv1/mask_0050.png,,unreadable_source
SEEM_existing,DouBanLv1,0050,/data/fj/F2DMAS/03-SEEM/DouBanLv1/0050.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SEEM_existing/mask_DouBanLv1_0050.png,ok
SAM_existing,DouBanLv1,0075,/data/fj/F2DMAS/03-SAM/DouBanLv1/mask_0075.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM_existing/mask_DouBanLv1_0075.png,ok
SEEM_existing,DouBanLv1,0075,/data/fj/F2DMAS/03-SEEM/DouBanLv1/0075.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SEEM_existing/mask_DouBanLv1_0075.png,ok
SAM_existing,DouBanLv1,0100,/data/fj/F2DMAS/03-SAM/DouBanLv1/mask_0100.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM_existing/mask_DouBanLv1_0100.png,ok
SEEM_existing,DouBanLv1,0100,/data/fj/F2DMAS/03-SEEM/DouBanLv1/0100.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SEEM_existing/mask_DouBanLv1_0100.png,ok
SAM_existing,ChangShouHua2,0000,/data/fj/F2DMAS/03-SAM/ChangShouHua2/mask_0000.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM_existing/mask_ChangShouHua2_0000.png,ok
SEEM_existing,ChangShouHua2,0000,/data/fj/F2DMAS/03-SEEM/ChangShouHua2/0000.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SEEM_existing/mask_ChangShouHua2_0000.png,ok
