method,sample,frame,source_stage,source_mask,imported_mask,status
SAM3_P2,KongQueZhuYu,0000,SAM3 P2 candidate mask,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/SAM3_P2/KongQueZhuYu/候选掩膜/P2_整株去花盆/mask_0000.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM3_P2/mask_KongQueZhuYu_0000.png,ok
RAP-FSAM3-v2,KongQueZhuYu,0000,RAP-FSAM3-v2 final mask,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/最终掩膜/mask_0000.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/RAP-FSAM3-v2/mask_KongQueZhuYu_0000.png,ok
SAM3_P2,KongQueZhuYu,0025,SAM3 P2 candidate mask,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/SAM3_P2/KongQueZhuYu/候选掩膜/P2_整株去花盆/mask_0025.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM3_P2/mask_KongQueZhuYu_0025.png,ok
RAP-FSAM3-v2,KongQueZhuYu,0025,RAP-FSAM3-v2 final mask,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/最终掩膜/mask_0025.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/RAP-FSAM3-v2/mask_KongQueZhuYu_0025.png,ok
SAM3_P2,KongQueZhuYu,0050,SAM3 P2 candidate mask,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/SAM3_P2/KongQueZhuYu/候选掩膜/P2_整株去花盆/mask_0050.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM3_P2/mask_KongQueZhuYu_0050.png,ok
RAP-FSAM3-v2,KongQueZhuYu,0050,RAP-FSAM3-v2 final mask,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/最终掩膜/mask_0050.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/RAP-FSAM3-v2/mask_KongQueZhuYu_0050.png,ok
SAM3_P2,KongQueZhuYu,0075,SAM3 P2 candidate mask,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/SAM3_P2/KongQueZhuYu/候选掩膜/P2_整株去花盆/mask_0075.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM3_P2/mask_KongQueZhuYu_0075.png,ok
RAP-FSAM3-v2,KongQueZhuYu,0075,RAP-FSAM3-v2 final mask,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/最终掩膜/mask_0075.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/RAP-FSAM3-v2/mask_KongQueZhuYu_0075.png,ok
SAM3_P2,KongQueZhuYu,0100,SAM3 P2 candidate mask,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/SAM3_P2/KongQueZhuYu/候选掩膜/P2_整株去花盆/mask_0100.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM3_P2/mask_KongQueZhuYu_0100.png,ok
RAP-FSAM3-v2,KongQueZhuYu,0100,RAP-FSAM3-v2 final mask,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/最终掩膜/mask_0100.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/RAP-FSAM3-v2/mask_KongQueZhuYu_0100.png,ok
