image,label,x,y,source
0000.jpg,1,1153,1540,distance_transform
0000.jpg,1,1158,1626,distance_transform
0000.jpg,1,1105,1468,distance_transform
0000.jpg,1,1163,1712,distance_transform
0000.jpg,1,1065,1391,distance_transform
0000.jpg,0,1508,512,outer_ring
0000.jpg,0,1141,698,outer_ring
0000.jpg,0,976,858,outer_ring
0000.jpg,0,1438,1083,outer_ring
0000.jpg,0,1642,1256,outer_ring
0000.jpg,0,771,1586,outer_ring
0000.jpg,0,854,1970,outer_ring
0000.jpg,0,1143,2158,outer_ring
0025.jpg,1,1268,1739,distance_transform
0025.jpg,1,1225,1662,distance_transform
0025.jpg,1,1279,1825,distance_transform
0025.jpg,1,1205,1578,distance_transform
0025.jpg,1,1290,1911,distance_transform
0025.jpg,0,1773,768,outer_ring
0025.jpg,0,1760,944,outer_ring
0025.jpg,0,1018,1149,outer_ring
0025.jpg,0,862,1349,outer_ring
0025.jpg,0,1786,1594,outer_ring
0025.jpg,0,1672,1916,outer_ring
0025.jpg,0,1007,2296,outer_ring
0025.jpg,0,1308,2479,outer_ring
0050.jpg,1,1297,1921,distance_transform
0050.jpg,1,1292,2007,distance_transform
0050.jpg,1,1336,1844,distance_transform
0050.jpg,1,1287,2093,distance_transform
0050.jpg,1,1286,2179,distance_transform
0050.jpg,0,803,1201,outer_ring
0050.jpg,0,1162,1351,outer_ring
0050.jpg,0,991,1464,outer_ring
0050.jpg,0,1061,1634,outer_ring
0050.jpg,0,1712,1844,outer_ring
0050.jpg,0,1588,2100,outer_ring
0050.jpg,0,1036,2385,outer_ring
0050.jpg,0,1282,2504,outer_ring
0075.jpg,1,759,1542,distance_transform
0075.jpg,1,718,1466,distance_transform
0075.jpg,1,766,1628,distance_transform
0075.jpg,1,772,1714,distance_transform
0075.jpg,1,780,1800,distance_transform
0075.jpg,0,506,873,outer_ring
0075.jpg,0,453,1024,outer_ring
0075.jpg,0,1126,1091,outer_ring
0075.jpg,0,384,1183,outer_ring
0075.jpg,0,1133,1409,outer_ring
0075.jpg,0,1103,1690,outer_ring
0075.jpg,0,1070,2031,outer_ring
0075.jpg,0,782,2194,outer_ring
0100.jpg,1,784,550,distance_transform
0100.jpg,1,804,634,distance_transform
0100.jpg,1,717,495,distance_transform
0100.jpg,1,821,719,distance_transform
0100.jpg,1,840,804,distance_transform
0100.jpg,0,373,0,outer_ring
0100.jpg,0,1184,59,outer_ring
0100.jpg,0,1124,219,outer_ring
0100.jpg,0,284,395,outer_ring
0100.jpg,0,1199,642,outer_ring
0100.jpg,0,498,897,outer_ring
0100.jpg,0,1130,1171,outer_ring
0100.jpg,0,873,1313,outer_ring
