图像,提示词编号,提示词文本,总分,面积得分,连通域得分,边界得分,时序得分,前背景对比得分,下方泄漏得分,侧边泄漏得分,语义门控启用,语义门控总修正,目标框得分,垂直覆盖得分,花盆重叠惩罚,侧边干扰惩罚,中心先验得分,面积比例,连通域数量,边界密度,时序IoU,前背景对比,下方区域占比,侧边区域占比,SAM3原始分数
0000.jpg,P1,green plant,1.3639904861783854,0.5722009176238474,1.0,0.7117830200571679,1.0,1.0,1.0,0.692908238209008,1,0.5071936986421824,0.8481428011492609,0.6720031237797736,0.0,0.0,0.8938315595958192,0.23601936246141975,1,8.098450562073918,1.0,0.28438714146614075,0.0,0.005772770158338693,0.925781
0000.jpg,P2,entire plant excluding pot,1.5142949121929068,0.8317339623378652,1.0,0.7264008658663182,1.0,1.0,0.5000835270127072,0.9693428842668509,1,0.6026679465520701,0.9993594271621378,1.0,0.08443651297889132,0.0,0.9822310093898923,0.3385349151234568,1,7.533006828327016,1.0,0.33705785870552063,0.03999331895507888,0.004126506796431837,0.925781
0000.jpg,P3,leaves and stems,1.3658675142997279,0.5745700622167527,1.0,0.7162823579848371,1.0,1.0,1.0,0.7135884542071345,1,0.5076970302594099,0.8495231804850427,0.6723935962514642,0.0,0.0,0.8933306976438151,0.2369551745756173,1,7.921949740975444,1.0,0.2834033966064453,0.0,0.005605471860449852,0.722656
0000.jpg,P4,crop seedling,0.5904761904761905,0.0,1.0,0.9523809523809523,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,
0000.jpg,P5,plant body without background,1.3638141069810927,0.570336612654321,1.0,0.7151409288795941,1.0,1.0,1.0,0.7427330161750714,1,0.5067185986743098,0.8470565660316424,0.6720031237797736,0.0,0.0,0.8928823828287572,0.2352829619984568,1,7.966515678712238,1.0,0.28342363238334656,0.0,0.005385515269806116,0.455078
0025.jpg,P1,green plant,1.0361799227859279,0.45489590658696666,1.0,0.7051611237150749,0.48405637387790645,0.41724514961242676,1.0,1.0,1,0.4239082120274528,0.6837497652490042,0.5116909522195866,0.0,0.0,0.9249142279077577,0.18968388310185186,1,8.362312282095024,0.48405637387790645,0.10431128740310669,0.0,0.0022424004362765473,0.964844
0025.jpg,P2,entire plant excluding pot,1.1164381796854759,0.5660543273363026,1.0,0.7119207942405823,0.5395547356902155,0.45183441042900085,1.0,1.0,1,0.4625653261462558,0.7262837258930582,0.6875635377838021,0.02516282572241253,0.0,0.9215343299932481,0.2335914592978395,1,8.093012820807308,0.5395547356902155,0.11295860260725021,0.0,0.001948902219921435,0.445312
0025.jpg,P3,leaves and stems,1.03650526233322,0.4562062309540553,1.0,0.706178063975642,0.484962016827855,0.4149400591850281,1.0,1.0,1,0.4240479881447039,0.6842511513310031,0.5116909522195866,0.0,0.0,0.9245571377932723,0.19020146122685186,1,8.321468791318695,0.484962016827855,0.10373501479625702,0.0,0.002360537193356774,0.691406
0025.jpg,P4,crop seedling,0.5904761904761905,0.0,1.0,0.9523809523809523,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,
0025.jpg,P5,plant body without background,0.3904761904761905,0.0,1.0,0.9523809523809523,0.0,0.0,1.0,1.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,
0050.jpg,P1,green plant,1.1709358295667935,0.31438475494217843,1.0,0.6894685400448785,0.4485871239839755,1.0,1.0,1.0,1,0.4804477457725871,0.8067799488074834,0.6380535811919081,0.0,0.0,0.8322511907542444,0.1341819782021605,1,9.007850015459983,0.4485871239839755,0.2729276120662689,0.0,0.0,0.945312
0050.jpg,P2,entire plant excluding pot,1.339789177007325,0.46837976392795744,1.0,0.7035274993346253,0.5179358076098499,1.0,1.0,1.0,1,0.6018205628328384,0.9458509308757691,0.9928922908693275,0.0,0.0,0.9205212466984026,0.1950100067515432,1,8.42817092283583,0.5179358076098499,0.3429480791091919,0.0,0.0,0.968750
0050.jpg,P3,leaves and stems,1.171317082340995,0.31470554481168933,1.0,0.6899301770192541,0.44914562540177516,1.0,1.0,1.0,1,0.4805608128944515,0.8070696501587431,0.6380535811919081,0.0,0.0,0.8323679072434802,0.13430869020061728,1,8.988440665702111,0.44914562540177516,0.27254217863082886,0.0,0.0,0.470703
0050.jpg,P4,crop seedling,0.5904761904761905,0.0,1.0,0.9523809523809523,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,
0050.jpg,P5,plant body without background,0.5904761904761905,0.0,1.0,0.9523809523809523,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,
0075.jpg,P1,green plant,0.9731699835309231,0.3221273587669947,1.0,0.7639580209117263,0.43790058600922926,0.3212299644947052,1.0,1.0,1,0.404126797494392,0.6758039491741589,0.4345663661796705,0.0,0.0,0.8937346937109573,0.13724030671296297,1,6.179448939002572,0.43790058600922926,0.0803074911236763,0.0,0.0,0.972656
0075.jpg,P2,entire plant excluding pot,1.0966868004384214,0.5488531533247382,1.0,0.7354941953479504,0.43635080493689704,0.3152357339859009,1.0,1.0,1,0.48950002291932415,0.7905254909131681,0.6860428971091078,0.0014060585441313669,0.0,0.8975019718331526,0.2267969955632716,1,7.192600739069496,0.43635080493689704,0.07880893349647522,0.0,0.0,0.839844
0075.jpg,P3,leaves and stems,0.3904761904761905,0.0,1.0,0.9523809523809523,0.0,0.0,1.0,1.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,
0075.jpg,P4,crop seedling,0.5904761904761905,0.0,1.0,0.9523809523809523,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,
0075.jpg,P5,plant body without background,0.5904761904761905,0.0,1.0,0.9523809523809523,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,
0100.jpg,P1,green plant,1.10561647780824,0.6596456111306453,1.0,0.6472585499113922,0.22914167623888626,0.9080432057380676,1.0,0.5798793281653747,1,0.41679866920444153,0.6672312747469361,0.5096605744125327,0.0,0.0,0.9152881964875803,0.27056001639660493,1,10.899553204415673,0.22914167623888626,0.2270108014345169,0.0,0.00689798688402158,0.941406
0100.jpg,P2,entire plant excluding pot,1.1998905362671262,0.7489866580715736,1.0,0.6613443496413229,0.4303421339495027,1.0,1.0,0.6253380168854379,1,0.4317559079346464,0.6890436025979821,0.5496083550913838,0.0110952996641491,0.0,0.949897330081483,0.3058497299382716,1,10.241431730454654,0.4303421339495027,0.2713862657546997,0.0,0.006396540578041974,0.898438
0100.jpg,P3,leaves and stems,1.0602999256990073,0.6622946456477574,1.0,0.6499006117947849,0.0,0.9042091965675354,1.0,0.5650748103091491,1,0.41701903489699166,0.6678780279623332,0.5101827676240209,0.0,0.0,0.9142882693785126,0.2716063850308642,1,10.77393625583365,0.0,0.22605229914188385,0.0,0.007078708742673601,0.714844
0100.jpg,P4,crop seedling,0.5904761904761905,0.0,1.0,0.9523809523809523,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,
0100.jpg,P5,plant body without background,0.5904761904761905,0.0,1.0,0.9523809523809523,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,
