image,label,x,y,source
0000.jpg,1,1262,990,distance_transform
0000.jpg,1,1221,913,distance_transform
0000.jpg,1,1348,1001,distance_transform
0000.jpg,1,1216,1063,distance_transform
0000.jpg,1,788,1706,distance_transform
0000.jpg,0,1754,0,outer_ring
0000.jpg,0,1421,233,outer_ring
0000.jpg,0,1875,434,outer_ring
0000.jpg,0,2112,813,outer_ring
0000.jpg,0,387,1257,outer_ring
0000.jpg,0,1661,1563,outer_ring
0000.jpg,0,1242,2154,outer_ring
0000.jpg,0,713,2582,outer_ring
0025.jpg,1,923,1368,distance_transform
0025.jpg,1,945,1284,distance_transform
0025.jpg,1,909,1453,distance_transform
0025.jpg,1,859,1285,distance_transform
0025.jpg,1,1004,1397,distance_transform
0025.jpg,0,1284,299,outer_ring
0025.jpg,0,1440,547,outer_ring
0025.jpg,0,986,675,outer_ring
0025.jpg,0,145,828,outer_ring
0025.jpg,0,266,1185,outer_ring
0025.jpg,0,239,1541,outer_ring
0025.jpg,0,553,1931,outer_ring
0025.jpg,0,861,2357,outer_ring
0050.jpg,1,815,1029,distance_transform
0050.jpg,1,1224,1532,distance_transform
0050.jpg,1,730,1044,distance_transform
0050.jpg,1,1235,1618,distance_transform
0050.jpg,1,863,1101,distance_transform
0050.jpg,0,168,334,outer_ring
0050.jpg,0,436,505,outer_ring
0050.jpg,0,1342,645,outer_ring
0050.jpg,0,1361,772,outer_ring
0050.jpg,0,1358,1103,outer_ring
0050.jpg,0,1647,1402,outer_ring
0050.jpg,0,890,1790,outer_ring
0050.jpg,0,1320,2179,outer_ring
0075.jpg,1,905,797,distance_transform
0075.jpg,1,879,1546,distance_transform
0075.jpg,1,991,784,distance_transform
0075.jpg,1,882,1632,distance_transform
0075.jpg,1,823,769,distance_transform
0075.jpg,0,772,23,outer_ring
0075.jpg,0,1019,267,outer_ring
0075.jpg,0,647,378,outer_ring
0075.jpg,0,1580,594,outer_ring
0075.jpg,0,1404,1060,outer_ring
0075.jpg,0,359,1392,outer_ring
0075.jpg,0,507,1937,outer_ring
0075.jpg,0,879,2259,outer_ring
0100.jpg,1,1142,1388,distance_transform
0100.jpg,1,1092,1458,distance_transform
0100.jpg,1,1227,1404,distance_transform
0100.jpg,1,897,1721,distance_transform
0100.jpg,1,1042,1528,distance_transform
0100.jpg,0,1959,176,outer_ring
0100.jpg,0,1359,453,outer_ring
0100.jpg,0,2002,604,outer_ring
0100.jpg,0,632,813,outer_ring
0100.jpg,0,565,1184,outer_ring
0100.jpg,0,2001,1552,outer_ring
0100.jpg,0,2,2020,outer_ring
0100.jpg,0,769,2310,outer_ring
