sample,frame,shape_index,label,shape_type,points,close_distance_px,area_px,bbox_x0,bbox_y0,bbox_x1,bbox_y1
KongQueZhuYu,0000,1,1,linestrip,41,1.0101648569107056,35726,1214,2648,1394,2889
KongQueZhuYu,0000,2,1,linestrip,659,2.664889097213745,1916591,61,585,2158,2531
KongQueZhuYu,0025,1,1,linestrip,415,6.059875965118408,2898713,0,805,2158,3195
KongQueZhuYu,0050,1,1,linestrip,7,2.1931533813476562,24656,1648,2460,1820,2653
KongQueZhuYu,0050,2,1,linestrip,466,2.243356704711914,1934985,0,959,1903,3072
KongQueZhuYu,0075,1,1,linestrip,7,3.7863147258758545,37106,473,2665,674,2877
KongQueZhuYu,0075,2,1,linestrip,230,1.2152796983718872,2181344,0,284,1629,2401
KongQueZhuYu,0100,1,1,linestrip,7,3.3276400566101074,17679,691,2557,854,2735
KongQueZhuYu,0100,2,1,linestrip,524,3.0304946899414062,2446674,253,385,2156,2699
DouBanLv1,0000,1,1,linestrip,25,8.101824760437012,74329,1203,2737,1474,3068
DouBanLv1,0000,2,1,linestrip,359,3.320192337036133,1928939,228,232,1857,2417
DouBanLv1,0025,1,1,linestrip,6,1.298701286315918,29000,1,2453,144,2678
DouBanLv1,0025,2,1,linestrip,293,2.903940439224243,1368669,427,658,1682,2619
DouBanLv1,0050,1,1,linestrip,211,4.876061916351318,903845,861,1057,1897,2535
DouBanLv1,0075,1,1,linestrip,7,10.691353797912598,26915,1572,2332,1750,2514
DouBanLv1,0075,2,1,linestrip,259,2.985107421875,1336799,186,812,1556,2701
DouBanLv1,0100,1,1,linestrip,17,2.857177734375,22363,986,2313,1116,2492
DouBanLv1,0100,2,1,linestrip,246,12.597277641296387,890815,249,681,1364,2146
ChangShouHua2,0000,1,1,linestrip,7,4.517478942871094,86259,804,2807,1072,3186
ChangShouHua2,0000,2,1,linestrip,521,3.3592336177825928,2844528,5,2,2159,2572
ChangShouHua2,0025,1,1,linestrip,10,1.4285736083984375,34641,84,2063,311,2269
ChangShouHua2,0025,2,1,linestrip,499,5.656507968902588,1952859,11,297,1909,2348
ChangShouHua2,0050,1,1,linestrip,369,5.150816440582275,1632208,91,340,1810,2174
ChangShouHua2,0075,1,1,linestrip,21,1.0101648569107056,47248,1620,2006,1859,2266
ChangShouHua2,0075,2,1,linestrip,278,3.549321174621582,1892412,315,37,1675,2249
ChangShouHua2,0100,1,1,linestrip,8,4.757622241973877,33172,829,2825,1027,3037
ChangShouHua2,0100,2,1,linestrip,563,3.3640503883361816,2673181,1,181,2157,2447
CaoMei1,0000,1,1,linestrip,7,0.5269414782524109,139639,969,2355,1354,2814
CaoMei1,0000,2,1,linestrip,568,1.1052672863006592,1084201,634,520,1663,2152
CaoMei1,0025,1,1,linestrip,8,1.1894282102584839,80713,0,2316,332,2617
CaoMei1,0025,2,1,linestrip,773,0.8993962407112122,1102719,707,764,1798,2470
CaoMei1,0050,1,1,linestrip,249,1.5509555339813232,698133,754,1188,1727,2492
CaoMei1,0075,1,1,linestrip,13,2.481088638305664,55399,1640,1949,1899,2216
CaoMei1,0075,2,1,linestrip,276,1.5545541048049927,783444,128,886,1182,2186
CaoMei1,0100,1,1,linestrip,7,0.787353515625,86537,823,1656,1139,2007
CaoMei1,0100,2,1,linestrip,217,4.723823547363281,982176,245,1,1286,1302
