view_order,view_id,angle_deg,hard_drop_image_quality_retained,hard_drop_mask_quality_retained,soft_weighting_retained,soft_weight,soft_weight_band,quality_score,raw_score,mask_score,geo_score
0,0000,0.0,1,1,1,0.897490,mid,0.743726,0.630297,0.872288,0.652963
1,0008,13.333,1,1,1,0.881577,mid,0.703942,0.601305,0.859264,0.534084
2,0016,26.667,1,1,1,0.928392,high,0.820980,0.747686,0.945350,0.669410
3,0024,40.0,1,1,1,0.920079,high,0.800198,0.726825,0.933639,0.628359
4,0032,53.333,0,1,1,0.876319,low,0.690798,0.577533,0.865707,0.495467
5,0040,66.667,0,0,1,0.892943,mid,0.732357,0.378163,1.000000,0.750000
6,0048,80.0,0,1,1,0.894267,mid,0.735669,0.716670,0.857261,0.495333
7,0056,93.333,0,1,1,0.888423,mid,0.721057,0.662587,0.877640,0.471067
8,0064,106.667,0,1,1,0.884626,mid,0.711565,0.676749,0.838312,0.487312
9,0072,120.0,1,1,1,0.862663,low,0.656656,0.574729,0.734145,0.625680
10,0080,133.333,1,1,1,0.911084,mid,0.777709,0.717142,0.909562,0.587034
11,0088,146.667,1,1,1,0.897134,mid,0.742836,0.532840,0.974263,0.589618
12,0096,160.0,1,1,1,0.894270,mid,0.735676,0.592646,0.936330,0.534505
13,0104,173.333,1,1,1,0.891548,mid,0.728871,0.581816,0.929608,0.534556
14,0112,186.667,0,1,1,0.927562,high,0.818906,0.799038,0.977257,0.497383
15,0120,200.0,1,1,1,0.919197,mid,0.797993,0.717628,0.958634,0.577191
16,0128,213.333,1,1,1,0.893789,mid,0.734472,0.544467,0.970985,0.534824
17,0136,226.667,0,1,1,0.885506,mid,0.713765,0.524962,0.958898,0.492618
18,0144,240.0,1,1,1,0.881330,mid,0.703324,0.497518,0.935053,0.542095
19,0152,253.333,0,1,1,0.877330,low,0.693326,0.504479,0.941007,0.466525
20,0160,266.667,1,1,1,0.889505,mid,0.723763,0.646119,0.869871,0.530901
21,0168,280.0,1,1,1,0.906398,mid,0.765995,0.676713,0.950283,0.507592
22,0176,293.333,1,1,1,0.885966,mid,0.714914,0.498869,0.931112,0.606547
23,0184,306.667,0,0,1,0.898086,mid,0.745216,0.414903,1.000000,0.750000
24,0192,320.0,1,1,1,0.866426,low,0.666064,0.481306,0.805426,0.675826
25,0200,333.333,1,1,1,0.890781,mid,0.726954,0.502259,0.963246,0.588512
26,0208,346.667,0,0,1,0.899011,mid,0.747527,0.421505,1.000000,0.750000
