sample,variant,eval_images,PSNR_fg,SSIM_fg,LPIPS_fg_black_bg,outside_nonblack_ratio_mean,leakage_energy_ratio_mean,gaussians_30000,gaussians_1e5
CaoMei2,A6,26,25.0833,0.8121,0.0250,0.0147,0.0081,370844,3.70844
CaoMei2,A6+M1-soft,26,25.0046,0.8107,0.0253,0.0140,0.0077,249944,2.49944
CaoMei2,A6+M4,26,25.0303,0.8108,0.0251,0.0144,0.0080,284757,2.84757
CaoMei2,A6+M1-soft+M4,26,24.9718,0.8101,0.0252,0.0136,0.0076,246452,2.46452
XianKeLai1,A6,26,23.7276,0.8278,0.0309,0.0484,0.0379,253827,2.53827
XianKeLai1,A6+M1-soft,26,23.6632,0.8274,0.0312,0.0478,0.0374,220947,2.20947
XianKeLai1,A6+M4,26,23.7256,0.8279,0.0310,0.0486,0.0376,251047,2.51047
XianKeLai1,A6+M1-soft+M4,26,23.7070,0.8273,0.0312,0.0479,0.0373,219661,2.19661
KongQueZhuYu,A6,27,25.0072,0.8548,0.0438,0.0294,0.0189,591623,5.91623
KongQueZhuYu,A6+M1-soft,27,24.9566,0.8543,0.0440,0.0284,0.0184,532264,5.32264
KongQueZhuYu,A6+M1-soft+M4,27,24.9423,0.8540,0.0441,0.0284,0.0182,530936,5.30936
