plant,method,common_frames,common_block_positive_frames,plant_f1,plant_miou,plant_boundary_f1_mean,plant_hd95_mean_px,block_recall_pixel,block_detection_rate
CaoMei1,SAM,5,4,0.9824420364581954,0.9805666477896409,0.41884056801875014,24.472089767456055,0.9926108510356402,1.0
CaoMei1,SEEM,5,4,0.9747615401989655,0.9721982122780217,0.32976009556767255,135.41523361206055,0.0,0.0
ChangShouHua2,SAM,5,4,0.9844325013972961,0.9791528860810594,0.40694638968056596,45.12291488647461,0.9844327438903239,1.0
ChangShouHua2,SEEM,5,4,0.9430956223135101,0.9260150540097134,0.16414359374816184,378.0148498535156,0.0,0.0
DouBanLv1,SAM,4,4,0.985134424213439,0.9824140733485899,0.4119224671155334,23.998202800750732,0.9790638699404353,1.0
DouBanLv1,SEEM,4,4,0.9581944864923176,0.9514061496181603,0.2549389646432445,226.87464141845703,0.0,0.0
KongQueZhuYu,SAM,5,4,0.9834795313432445,0.9776540588620456,0.32011392083011264,55.22920818328858,0.9755311851485234,1.0
KongQueZhuYu,SEEM,5,4,0.944287190685937,0.926784302851154,0.15203657893645825,379.1456604003906,0.0,0.5
XianKeLai1,SAM,1,1,0.9794810396202447,0.9753608793201778,0.4081144232756834,107.76045227050781,0.9867963227484159,1.0
XianKeLai1,SEEM,1,1,0.9618934879981245,0.9548536125778688,0.3450288262365453,266.0886535644531,0.0,0.0
