plant,model,status,num_registered_images,num_points_total,num_points_used_subject,points_keep_ratio_after_filter,source_model_dir,output_image,message
BaiZhang,0,ok,2,116,116,1.0,/data/fj/04-COLMAP/BaiZhang/sparse/0,/data/fj/04-COLMAP-Picture/BaiZhang/sparse/0/sfm_subject_clean_view.png,
BaiZhang,1,ok,63,13494,12191,0.9034385652882763,/data/fj/04-COLMAP/BaiZhang/sparse/1,/data/fj/04-COLMAP-Picture/BaiZhang/sparse/1/sfm_subject_clean_view.png,
BaiZhang,2,ok,131,34222,33029,0.9651393840219742,/data/fj/04-COLMAP/BaiZhang/sparse/2,/data/fj/04-COLMAP-Picture/BaiZhang/sparse/2/sfm_subject_clean_view.png,
CaoMei1,0,ok,210,24226,23502,0.9701147527449847,/data/fj/04-COLMAP/CaoMei1/sparse/0,/data/fj/04-COLMAP-Picture/CaoMei1/sparse/0/sfm_subject_clean_view.png,
CaoMei2,0,ok,106,26199,25671,0.9798465590289706,/data/fj/04-COLMAP/CaoMei2/sparse/0,/data/fj/04-COLMAP-Picture/CaoMei2/sparse/0/sfm_subject_clean_view.png,
ChangShouHua1,0,ok,2,16,16,1.0,/data/fj/04-COLMAP/ChangShouHua1/sparse/0,/data/fj/04-COLMAP-Picture/ChangShouHua1/sparse/0/sfm_subject_clean_view.png,
ChangShouHua2,0,ok,212,20796,20411,0.9814868243893057,/data/fj/04-COLMAP/ChangShouHua2/sparse/0,/data/fj/04-COLMAP-Picture/ChangShouHua2/sparse/0/sfm_subject_clean_view.png,
DouBanLv1,0,ok,215,10764,10232,0.950575994054255,/data/fj/04-COLMAP/DouBanLv1/sparse/0,/data/fj/04-COLMAP-Picture/DouBanLv1/sparse/0/sfm_subject_clean_view.png,
DouBanLv2,0,ok,210,21653,21156,0.9770470604535169,/data/fj/04-COLMAP/DouBanLv2/sparse/0,/data/fj/04-COLMAP-Picture/DouBanLv2/sparse/0/sfm_subject_clean_view.png,
DouBanLv3,0,ok,200,47352,46793,0.9881947964183139,/data/fj/04-COLMAP/DouBanLv3/sparse/0,/data/fj/04-COLMAP-Picture/DouBanLv3/sparse/0/sfm_subject_clean_view.png,
HongZhang,0,ok,213,24912,24401,0.9794877970456005,/data/fj/04-COLMAP/HongZhang/sparse/0,/data/fj/04-COLMAP-Picture/HongZhang/sparse/0/sfm_subject_clean_view.png,
KongQueZhuYu,0,ok,3,162,162,1.0,/data/fj/04-COLMAP/KongQueZhuYu/sparse/0,/data/fj/04-COLMAP-Picture/KongQueZhuYu/sparse/0/sfm_subject_clean_view.png,
WanNianQing1,0,ok,213,23259,22960,0.98714476116772,/data/fj/04-COLMAP/WanNianQing1/sparse/0,/data/fj/04-COLMAP-Picture/WanNianQing1/sparse/0/sfm_subject_clean_view.png,
WanNianQing2,0,ok,215,17715,17287,0.9758396838837143,/data/fj/04-COLMAP/WanNianQing2/sparse/0,/data/fj/04-COLMAP-Picture/WanNianQing2/sparse/0/sfm_subject_clean_view.png,
WangWenCao1,0,ok,149,35160,35017,0.9959328782707623,/data/fj/04-COLMAP/WangWenCao1/sparse/0,/data/fj/04-COLMAP-Picture/WangWenCao1/sparse/0/sfm_subject_clean_view.png,
WangWenCao2,0,ok,210,33317,30380,0.9118468049344178,/data/fj/04-COLMAP/WangWenCao2/sparse/0,/data/fj/04-COLMAP-Picture/WangWenCao2/sparse/0/sfm_subject_clean_view.png,
XianKeLai1,0,ok,208,47148,46968,0.9961822346653092,/data/fj/04-COLMAP/XianKeLai1/sparse/0,/data/fj/04-COLMAP-Picture/XianKeLai1/sparse/0/sfm_subject_clean_view.png,
XianKeLai2,0,ok,208,26405,25709,0.973641355803825,/data/fj/04-COLMAP/XianKeLai2/sparse/0,/data/fj/04-COLMAP-Picture/XianKeLai2/sparse/0/sfm_subject_clean_view.png,
XianKeLai3,0,ok,206,40140,40002,0.9965620328849029,/data/fj/04-COLMAP/XianKeLai3/sparse/0,/data/fj/04-COLMAP-Picture/XianKeLai3/sparse/0/sfm_subject_clean_view.png,
XiangPiShu1,0,ok,203,36875,36718,0.9957423728813559,/data/fj/04-COLMAP/XiangPiShu1/sparse/0,/data/fj/04-COLMAP-Picture/XiangPiShu1/sparse/0/sfm_subject_clean_view.png,
XiangPiShu2,0,ok,2,224,224,1.0,/data/fj/04-COLMAP/XiangPiShu2/sparse/0,/data/fj/04-COLMAP-Picture/XiangPiShu2/sparse/0/sfm_subject_clean_view.png,
