plant,model,status,num_registered_images,num_points_total,num_points_plotted,num_frustum_segments,source_model_dir,output_model_dir,generated_files,message
BaiZhang,0,ok,2,116,116,16,/data/fj/04-COLMAP/BaiZhang/sparse/0,/data/fj/04-COLMAP-Picture/BaiZhang/sparse/0,sfm_3d_overview.png|sfm_orthographic_views.png|sfm_frustum_view.png|sfm_frustum_montage.png|sfm_summary.json,
BaiZhang,1,ok,63,13494,13494,504,/data/fj/04-COLMAP/BaiZhang/sparse/1,/data/fj/04-COLMAP-Picture/BaiZhang/sparse/1,sfm_3d_overview.png|sfm_orthographic_views.png|sfm_frustum_view.png|sfm_frustum_montage.png|sfm_summary.json,
BaiZhang,2,ok,131,34222,34222,1048,/data/fj/04-COLMAP/BaiZhang/sparse/2,/data/fj/04-COLMAP-Picture/BaiZhang/sparse/2,sfm_3d_overview.png|sfm_orthographic_views.png|sfm_frustum_view.png|sfm_frustum_montage.png|sfm_summary.json,
CaoMei1,0,ok,210,24226,24226,1680,/data/fj/04-COLMAP/CaoMei1/sparse/0,/data/fj/04-COLMAP-Picture/CaoMei1/sparse/0,sfm_3d_overview.png|sfm_orthographic_views.png|sfm_frustum_view.png|sfm_frustum_montage.png|sfm_summary.json,
CaoMei2,0,ok,106,26199,26199,848,/data/fj/04-COLMAP/CaoMei2/sparse/0,/data/fj/04-COLMAP-Picture/CaoMei2/sparse/0,sfm_3d_overview.png|sfm_orthographic_views.png|sfm_frustum_view.png|sfm_frustum_montage.png|sfm_summary.json,
ChangShouHua1,0,ok,2,16,16,16,/data/fj/04-COLMAP/ChangShouHua1/sparse/0,/data/fj/04-COLMAP-Picture/ChangShouHua1/sparse/0,sfm_3d_overview.png|sfm_orthographic_views.png|sfm_frustum_view.png|sfm_frustum_montage.png|sfm_summary.json,
ChangShouHua2,0,ok,212,20796,20796,1696,/data/fj/04-COLMAP/ChangShouHua2/sparse/0,/data/fj/04-COLMAP-Picture/ChangShouHua2/sparse/0,sfm_3d_overview.png|sfm_orthographic_views.png|sfm_frustum_view.png|sfm_frustum_montage.png|sfm_summary.json,
DouBanLv1,0,ok,215,10764,10764,1720,/data/fj/04-COLMAP/DouBanLv1/sparse/0,/data/fj/04-COLMAP-Picture/DouBanLv1/sparse/0,sfm_3d_overview.png|sfm_orthographic_views.png|sfm_frustum_view.png|sfm_frustum_montage.png|sfm_summary.json,
DouBanLv2,0,ok,210,21653,21653,1680,/data/fj/04-COLMAP/DouBanLv2/sparse/0,/data/fj/04-COLMAP-Picture/DouBanLv2/sparse/0,sfm_3d_overview.png|sfm_orthographic_views.png|sfm_frustum_view.png|sfm_frustum_montage.png|sfm_summary.json,
DouBanLv3,0,ok,200,47352,47352,1600,/data/fj/04-COLMAP/DouBanLv3/sparse/0,/data/fj/04-COLMAP-Picture/DouBanLv3/sparse/0,sfm_3d_overview.png|sfm_orthographic_views.png|sfm_frustum_view.png|sfm_frustum_montage.png|sfm_summary.json,
