scene,input_ply,output_ply,input_points,clean_points_reported,output_points,removed_points,removed_pct,status,message
BaiZhang,/data/fj/07-SuGaR-GS/BaiZhang/vanilla_gs/point_cloud/iteration_7000/point_cloud.ply,/data/fj/07-SuGaR-GS/BaiZhang/vanilla_gs/point_cloud/iteration_7000/point_cloud_clean_v2_rerun_20260304_181041.ply,157061,155256,155256,1805,1.1492,ok,
CaoMei1,/data/fj/07-SuGaR-GS/CaoMei1/vanilla_gs/point_cloud/iteration_7000/point_cloud.ply,/data/fj/07-SuGaR-GS/CaoMei1/vanilla_gs/point_cloud/iteration_7000/point_cloud_clean_v2_rerun_20260304_181041.ply,38239,37014,37014,1225,3.2035,ok,
CaoMei2,/data/fj/07-SuGaR-GS/CaoMei2/vanilla_gs/point_cloud/iteration_7000/point_cloud.ply,/data/fj/07-SuGaR-GS/CaoMei2/vanilla_gs/point_cloud/iteration_7000/point_cloud_clean_v2_rerun_20260304_181041.ply,146599,139987,139987,6612,4.5103,ok,
ChangShouHua2,/data/fj/07-SuGaR-GS/ChangShouHua2/vanilla_gs/point_cloud/iteration_7000/point_cloud.ply,/data/fj/07-SuGaR-GS/ChangShouHua2/vanilla_gs/point_cloud/iteration_7000/point_cloud_clean_v2_rerun_20260304_181041.ply,14946,14429,14429,517,3.4591,ok,
DouBanLv1,/data/fj/07-SuGaR-GS/DouBanLv1/vanilla_gs/point_cloud/iteration_7000/point_cloud.ply,/data/fj/07-SuGaR-GS/DouBanLv1/vanilla_gs/point_cloud/iteration_7000/point_cloud_clean_v2_rerun_20260304_181041.ply,52182,51745,51745,437,0.8375,ok,
DouBanLv3,/data/fj/07-SuGaR-GS/DouBanLv3/vanilla_gs/point_cloud/iteration_7000/point_cloud.ply,/data/fj/07-SuGaR-GS/DouBanLv3/vanilla_gs/point_cloud/iteration_7000/point_cloud_clean_v2_rerun_20260304_181041.ply,115981,114692,114692,1289,1.1114,ok,
HongZhang,/data/fj/07-SuGaR-GS/HongZhang/vanilla_gs/point_cloud/iteration_7000/point_cloud.ply,/data/fj/07-SuGaR-GS/HongZhang/vanilla_gs/point_cloud/iteration_7000/point_cloud_clean_v2_rerun_20260304_181041.ply,93813,93043,93043,770,0.8208,ok,
KongQueZhuYu,/data/fj/07-SuGaR-GS/KongQueZhuYu/vanilla_gs/point_cloud/iteration_7000/point_cloud.ply,/data/fj/07-SuGaR-GS/KongQueZhuYu/vanilla_gs/point_cloud/iteration_7000/point_cloud_clean_v2_rerun_20260304_181041.ply,400611,397034,397034,3577,0.8929,ok,
WanNianQing1,/data/fj/07-SuGaR-GS/WanNianQing1/vanilla_gs/point_cloud/iteration_7000/point_cloud.ply,/data/fj/07-SuGaR-GS/WanNianQing1/vanilla_gs/point_cloud/iteration_7000/point_cloud_clean_v2_rerun_20260304_181041.ply,78005,77768,77768,237,0.3038,ok,
WanNianQing2,/data/fj/07-SuGaR-GS/WanNianQing2/vanilla_gs/point_cloud/iteration_7000/point_cloud.ply,/data/fj/07-SuGaR-GS/WanNianQing2/vanilla_gs/point_cloud/iteration_7000/point_cloud_clean_v2_rerun_20260304_181041.ply,40864,40757,40757,107,0.2618,ok,
WangWenCao1,/data/fj/07-SuGaR-GS/WangWenCao1/vanilla_gs/point_cloud/iteration_7000/point_cloud.ply,/data/fj/07-SuGaR-GS/WangWenCao1/vanilla_gs/point_cloud/iteration_7000/point_cloud_clean_v2_rerun_20260304_181041.ply,139248,134521,134521,4727,3.3947,ok,
WangWenCao2,/data/fj/07-SuGaR-GS/WangWenCao2/vanilla_gs/point_cloud/iteration_7000/point_cloud.ply,/data/fj/07-SuGaR-GS/WangWenCao2/vanilla_gs/point_cloud/iteration_7000/point_cloud_clean_v2_rerun_20260304_181041.ply,35804,34761,34761,1043,2.9131,ok,
XianKeLai1,/data/fj/07-SuGaR-GS/XianKeLai1/vanilla_gs/point_cloud/iteration_7000/point_cloud.ply,/data/fj/07-SuGaR-GS/XianKeLai1/vanilla_gs/point_cloud/iteration_7000/point_cloud_clean_v2_rerun_20260304_181041.ply,173377,170753,170753,2624,1.5135,ok,
XianKeLai2,/data/fj/07-SuGaR-GS/XianKeLai2/vanilla_gs/point_cloud/iteration_7000/point_cloud.ply,/data/fj/07-SuGaR-GS/XianKeLai2/vanilla_gs/point_cloud/iteration_7000/point_cloud_clean_v2_rerun_20260304_181041.ply,44264,44264,44264,0,0.0000,ok,
XianKeLai3,/data/fj/07-SuGaR-GS/XianKeLai3/vanilla_gs/point_cloud/iteration_7000/point_cloud.ply,/data/fj/07-SuGaR-GS/XianKeLai3/vanilla_gs/point_cloud/iteration_7000/point_cloud_clean_v2_rerun_20260304_181041.ply,169508,168549,168549,959,0.5658,ok,
XiangPiShu1,/data/fj/07-SuGaR-GS/XiangPiShu1/vanilla_gs/point_cloud/iteration_7000/point_cloud.ply,/data/fj/07-SuGaR-GS/XiangPiShu1/vanilla_gs/point_cloud/iteration_7000/point_cloud_clean_v2_rerun_20260304_181041.ply,174794,174722,174722,72,0.0412,ok,
