品种,株高真值,株高虚拟植,冠幅真值,冠幅虚拟植,叶长真值1,叶长虚拟植1,叶宽真值1,叶宽虚拟植1,叶长真值2,叶长虚拟植2,叶宽真值2,叶宽虚拟植2,叶长真值3,叶长虚拟植3,叶宽真值3,叶宽虚拟植3
橡皮树,44.8,42.57,30.6,30.94,14.74,14.27,8.3,9.54,12.3,12.72,7.11,7.22,16.1,16.5,8.42,8.3
橡皮树,35.4,36.7,29.8,30.6,12.48,12.68,6.98,8.7,14.96,13.75,6.91,8.21,13.51,14.65,7.19,6.54
白掌,35.6,34.9,42.5,43.25,13.5,12.79,3.89,4.07,16.1,17.8,4.6,5.0,13.8,14.27,4.3,4.61
红掌,30.2,32.4,38.9,40.51,14.82,13.02,10.52,11.79,6.6,7.54,7.36,7.84,12.07,12.31,7.47,8.01
万年青,16.2,17.34,27.3,28.63,9.95,10.15,6.07,6.61,8.3,7.69,4.46,5.12,8.14,8.43,4.17,5.21
万年青,17.4,17.89,28.3,29.4,9.67,10.23,5.3,6.71,8.5,9.34,4.09,4.87,9.68,10.51,3.93,4.26
孔雀竹芋,15.7,18.67,29.9,30.07,10.19,10.9,7.13,7.02,10.03,10.52,7.17,7.42,10.77,11.4,6.34,6.47
孔雀竹芋,18.6,19.63,21.2,20.51,9.21,10.18,6.12,7.56,9.28,9.54,5.44,5.21,9.68,11.21,6.28,7.81
豆苗绿,13.0,13.61,15.6,16.84,6.88,7.69,5.37,5.78,6.15,6.31,5.15,5.43,6.93,7.26,5.68,5.81
豆苗绿,11.8,12.45,15.1,15.04,6.19,6.28,5.17,5.04,6.68,6.91,5.95,6.45,4.24,5.24,4.22,4.91
豆苗绿,13.5,14.2,17.4,18.78,6.24,6.44,4.57,5.03,5.58,6.24,4.58,4.51,4.47,4.74,4.03,4.11
仙客来,12.3,13.42,22.4,22.87,5.15,5.92,5.11,5.43,5.28,5.76,5.09,5.52,4.68,5.22,5.3,5.41
仙客来,11.9,12.6,18.8,19.3,4.72,4.97,4.39,4.56,5.23,5.47,5.21,5.61,5.62,5.71,4.72,4.63
仙客来,9.8,10.6,22.8,21.2,5.03,4.39,4.3,4.42,4.39,4.83,5.5,5.66,4.25,4.44,5.02,5.07
网纹草,3.6,3.89,10.4,10.6,2.85,3.01,0.86,0.84,1.77,1.84,0.7,0.58,1.94,2.07,0.63,0.6
网纹草,2.4,2.64,8.5,9.31,2.71,2.91,1.16,0.84,1.77,1.94,0.94,1.07,1.73,1.97,1.02,1.15
长寿花,13.8,14.87,25.7,27.23,5.27,5.81,3.74,4.15,4.86,5.07,3.2,3.56,4.97,5.78,2.76,2.75
长寿花,13.6,13.95,22.5,23.4,9.0,9.65,5.47,6.52,6.2,6.75,4.7,5.12,6.46,7.12,4.21,5.12
长寿花,11.6,10.25,19.9,20.58,6.84,7.52,3.8,3.57,6.68,6.04,4.57,6.23,5.23,5.36,3.76,3.78
草莓,6.4,6.87,10.2,10.8,3.96,4.06,3.25,3.47,2.51,2.61,2.62,3.07,2.23,2.41,2.06,2.37
草莓,3.9,4.17,10.4,11.8,2.49,2.78,2.32,2.41,2.48,2.64,2.16,2.18,2.59,2.81,2.3,2.38
