# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 101, mean track length: 2
1 -3.4274173318114056 -1.6758400889301774 24.801729431353806 82 98 61 0.76356420690989801 109 25 117 401
60 -4.6529563599254118 0.1397281035346212 23.628393978676929 120 150 80 0.41175020630499926 109 2682 117 3071
61 -4.9430900231269872 0.1612450512009766 23.597501517655857 30 41 9 0.42612756593926648 109 2685 117 2893
62 -4.2034827787816536 0.62882884073591427 24.249146578735655 10 21 5 1.641607651411372 109 2706 117 2939
63 -2.683624164328378 0.77325239245564636 24.885023352974677 27 39 17 1.3772112397253458 109 2716 117 3247
64 -7.8058433252259105 1.2568741791425428 24.79549678462168 91 102 85 0.30263572323173227 109 2731 117 3061
65 -2.7574799866572959 1.3372531039439415 24.785320004747632 13 27 1 0.043604506383382466 109 2735 117 3126
66 -3.7200666328901546 1.3240159281298922 24.093927636778172 127 155 80 0.066067663929301523 109 2737 117 3113
67 -7.3949317541145616 1.7773886537999481 24.472933579731432 14 12 6 0.97607407130307111 109 2756 117 3080
68 -3.9903301655852368 2.4189401357809088 23.758918709699582 135 164 80 0.087342748972881079 109 2768 117 3128
69 -3.1878232966869073 2.4484989419856609 23.877428080022682 118 147 67 0.54470645672263673 109 2770 117 3144
70 -3.1697283203830788 2.5671224441443274 23.881652249523103 26 40 7 0.37405957286163477 109 2783 117 3151
71 -3.3116451338481014 2.5900078263154271 23.829772804912778 19 36 1 1.3977098325129069 109 2785 117 3147
72 -3.4260559925994256 2.6486495804140633 23.75362745962148 30 47 5 0.11718559126774045 109 2787 117 3146
89 -4.0601794066568599 -1.448752850245592 24.558684823163752 55 78 24 1.0563749521276513 109 2926 117 3283
90 -5.5300191618609977 -1.272969349835918 24.735355791354717 42 61 16 1.2384512707518556 109 2933 117 3282
91 -4.7623263484054261 -0.50278980724077316 23.719968134912197 203 220 165 1.0693486570804018 109 2947 117 3288
92 -5.1696009934164584 -0.18754957456467924 23.677647617267557 19 34 2 1.1147968630632383 109 2958 117 3289
93 -5.1748730452146097 -0.039479590917398839 23.541100118545433 164 185 94 0.71412041923844338 109 2965 117 3290
94 -4.7539461426499123 -0.051781084859581022 23.586856426588724 169 191 108 0.28082864708641175 109 2966 117 3294
95 -4.7759888569168893 0.13048051741848424 23.579239918334153 28 43 12 0.12071392242563406 109 2968 117 3295
96 -3.5760623676037064 2.7211912781439391 23.714724612034669 31 46 8 0.042369072381205117 109 3005 117 3265
97 -4.0409039991431532 2.7724825127998787 23.741234317187025 15 27 3 0.015177160741539422 109 3006 117 3257
98 -3.0172809946502066 2.8091876653201644 23.928851742202891 156 179 99 1.4050126123869744 109 3008 117 3337
99 -3.5733071687637343 2.8659821527075371 23.700798244090635 128 154 57 0.008201611883514693 109 3010 117 3330
100 -3.5733071687637343 2.8659821527075371 23.700798244090635 128 154 57 0.008201611883514693 109 3011 117 3331
101 -5.3465942421461481 3.3511730576456706 25.023203309030126 34 35 30 0.037325139872410054 109 3013 117 3256
29 -6.5395381234008516 0.67126939636705674 25.179207351911472 98 105 89 0.65370051798853313 109 2049 117 2479
88 -3.5685130541850896 3.0993483574951282 23.737737818691581 140 168 84 0.86516129087474547 109 2915 117 3335
28 -6.5011084495035698 0.60374138465951055 25.25120784001361 47 55 42 0.91438499749790081 109 2046 117 2709
87 -3.4027519553188745 2.7587390541410541 23.769937435940566 132 163 70 0.72017167974453256 109 2908 117 3267
27 -3.7612141442531688 0.48261899787698925 24.464439608891571 63 80 45 0.8551022927875267 109 2034 117 2292
86 -3.9077557661996312 2.7668537239617725 23.699235179746285 130 157 76 0.89917273300793421 109 2907 117 3260
26 -2.7988129329274738 0.3339092491417337 25.096388066389476 27 40 10 0.25757918711282013 109 2026 117 2574
85 -3.0934388075284529 2.6905134772262338 23.902639643999922 28 43 9 0.09477560119950118 109 2904 117 3271
25 -4.7985599442019824 -0.27695989643568281 23.620865998068847 107 129 47 0.25359837597085982 109 1997 117 2462
84 -3.7027325645366482 2.6698822346842732 23.714628449702023 151 176 82 0.43169148551933378 109 2903 117 3261
24 -4.9527294072792518 1.7287189499207105 23.845570077735509 126 141 112 1.229672966148287 109 1852 117 1565
83 -3.2266609177495065 2.6495290790450685 23.82338321060627 149 173 81 0.80063454186015326 109 2902 117 3268
23 -2.6271300419636221 1.3906953234636461 24.731456617670755 25 43 3 0.30856466791723258 109 1829 117 2613
82 -4.6335583767243049 0.025901178943783968 23.622478950360335 22 37 4 0.44229238944664107 109 2847 117 3206
22 -2.6271300419636221 1.3906953234636461 24.731456617670755 25 43 3 0.30856466791723258 109 1828 117 2614
31 -4.5675304015738254 1.1725509123194859 24.318302972011697 28 37 19 0.93659229862244464 109 2070 117 2554
32 -2.8522128653284962 1.3266171700712066 24.66603379420156 41 54 34 1.7183305975236212 109 2081 117 2351
33 -3.0515274599856781 2.3438828585087883 24.009991014859551 107 128 68 0.40540585005485585 109 2150 117 2641
34 -3.3922542689379771 3.096683704123997 23.823111233152396 85 105 44 0.44960722475159831 109 2192 117 2839
