# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 65, mean track length: 2
53 0.62498263653197483 -1.4150943355581591 60.815069123571007 81 98 46 0.033177153941693363 118 1414 182 1895
52 0.2857923557418956 -1.4819754281261812 61.155650942308654 116 131 75 1.2178914120621869 118 1410 182 1892
51 19.522672706077707 -2.4166192057121632 87.103143965314672 58 88 18 0.16946387300020246 118 1393 182 1666
50 9.6554718771325945 -6.7059987158254044 67.602451488184585 229 234 212 0.632174818833388 118 1336 182 1826
49 17.117507251553494 -6.5960488516182973 68.207033458246201 115 138 86 0.49112955335818165 118 1333 182 1600
48 10.194419882664063 2.0336411546025288 84.828312630830112 76 73 58 0.097275699498010237 118 1317 182 1585
3 10.093637640485534 -5.7829128602964248 65.939815722439093 142 155 106 0.74763526528193147 118 408 182 1112
62 12.911822476471514 -6.7369841625163902 71.803784552173028 116 153 75 0.90672311682867379 118 1588 182 1931
24 10.769916610255853 -1.0765070509841115 77.148031529013679 143 175 100 0.54772547583563336 118 918 182 1536
4 20.085987960144692 -1.1419453594167646 84.978770284739909 205 228 171 0.098034397960520325 118 483 182 956
63 13.852688703083702 -6.8924120450865711 71.206712841117977 126 160 73 0.18269877229410714 118 1656 182 1981
5 20.085987960144692 -1.1419453594167646 84.978770284739909 205 228 171 0.098034397960520325 118 484 182 957
64 -0.25761264642550585 -2.0521704728639532 60.722723601429379 117 141 89 0.027176966114913652 118 1671 182 1960
6 9.9265521397737118 -1.5118604049178874 77.38346885599239 90 128 42 1.0363385554024016 118 503 182 1190
65 0.2379032230688706 -1.9673709232467551 61.567538101509392 57 77 17 0.3301811187077669 118 1724 182 2021
7 10.403639418297342 -0.89425227355846448 76.642346865613362 68 105 25 0.70203942135194863 118 516 182 1198
22 20.177661916786125 -2.414069039126999 87.988609685575398 113 143 73 0.60179085426404311 118 887 182 1161
21 -0.3775552766213302 -2.0991239410390623 60.765356055942952 61 81 28 0.12593409688836738 118 886 182 1520
20 -0.28426654859389638 -2.1352804671606282 60.622037746407827 109 132 76 0.10021273002431637 118 885 182 1518
19 6.7883764721662345 -5.1196080459448403 62.800116673168169 119 148 93 0.20912398170459157 118 850 182 1475
58 -0.11916489509690055 -1.6662774741229338 61.153025952482636 150 153 107 0.50502978998185577 118 1542 182 1888
