# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 197, mean track length: 2
1 -4.6582257382526722 -0.6754654795031515 21.579667640821803 79 81 76 0.24341417417692995 128 570 137 1728
128 -2.3871679694308523 4.6823838311307959 30.382908388800107 55 47 26 0.92991478277909057 128 10224 137 5908
2 -2.0876506638598844 4.9401637137055578 30.434487143295527 53 45 31 0.43644162988274149 128 2092 137 2421
129 -2.3001258219149578 4.9985119374455715 30.463630387254817 231 230 209 0.088529788382864183 128 10244 137 6323
3 -1.8805209959463214 5.0972089984715456 30.426137705441537 61 54 34 0.17400727206985758 128 2187 137 3658
130 -2.3001258219149578 4.9985119374455715 30.463630387254817 231 230 209 0.088529788382864183 128 10245 137 6324
4 -4.5439204747764341 5.8835190713921621 30.404217627353621 45 33 11 0.28022261255173581 128 2634 137 1216
131 -1.8460896058881613 5.0729870554911027 30.480690556615691 236 239 223 0.0064335289148052211 128 10250 137 6344
5 -2.051054867044217 5.9134405793676716 30.427221694947889 156 148 125 0.17295427253054077 128 2665 137 1507
132 -4.1006853045137985 5.1638547451715944 30.524596703721986 49 38 19 0.60849189304743323 128 10255 137 5864
6 -3.5583568322123935 6.5717418752199768 30.404250203753616 32 21 0 0.34444362234774184 128 3093 137 2530
133 -3.8598687958253501 5.1457899529168198 30.444611437196524 41 33 14 0.10394153346654206 128 10256 137 5874
7 -4.7027667038163994 -0.58235485376062213 21.559217671833952 101 104 93 0.23971147551016228 128 3876 137 2861
134 -1.8704990612871926 5.2691923131367355 30.430173895224449 235 235 230 0.19167898732014538 128 10264 137 6354
8 -1.6760720597888144 0.28605971763700044 25.12938932378983 63 68 61 0.39862205869828959 128 4121 137 1001
135 -2.7609945698206428 5.3429857430469001 30.522121810355415 235 232 215 0.12172843351434 128 10267 137 5929
9 -1.2003721616356247 0.70078596160072804 25.336896777317666 65 74 66 0.47646474048498322 128 4194 137 3103
136 -2.4806188113699537 5.33650455985779 30.499727493497566 43 32 14 0.43898551080096887 128 10268 137 5940
10 -5.4444468354356275 5.0372891918736027 30.259968948186664 55 40 19 0.15132147229850912 128 5245 137 2063
137 -4.9572113657512276 5.343466398283045 30.378416456466997 30 22 2 0.060030487258618148 128 10270 137 5850
11 -4.1509916632612658 5.0549244314150128 30.523376020592259 118 106 80 1.3263149779056465 128 5246 137 3311
138 -5.4890717272097822 5.3798906684870991 30.333641789277365 139 120 90 0.59271866171579957 128 10272 137 5837
42 -4.8906402705990413 5.8954468997024971 30.334898831140766 56 41 25 0.15982411869432822 128 7729 137 3352
169 -2.6786182926990367 6.5523277078184519 30.341659553076877 229 225 215 0.5512041537340181 128 10595 137 6369
43 -3.0462466109838395 6.0152120625036254 30.491143494397654 230 223 194 0.0028865749170309081 128 7760 137 4686
