plant,status,image_dir,image_count,compute_mode,total_sec,feature_sec,matcher,match_sec,mapper_sec,undistort_sec,patchmatch_sec,fusion_sec,fuse_ply
BaiZhang,success,/data/fj/04-COLMAP/BaiZhang/images,199,gpu1,10587,28,sequential,96,392,10,9888,173,/data/fj/11-COLMAP-fuse/run_20260302_153856/BaiZhang/fuse.ply
CaoMei1,success,/data/fj/04-COLMAP/CaoMei1/images,210,gpu1,9062,14,sequential,65,1028,7,7835,113,/data/fj/11-COLMAP-fuse/run_20260302_153856/CaoMei1/fuse.ply
CaoMei2,success,/data/fj/04-COLMAP/CaoMei2/images,106,gpu1,6002,13,sequential,33,372,5,5501,78,/data/fj/11-COLMAP-fuse/run_20260302_153856/CaoMei2/fuse.ply
ChangShouHua1,success,/data/fj/04-COLMAP/ChangShouHua1/images,2,gpu1,52,0,sequential,1,0,1,48,2,/data/fj/11-COLMAP-fuse/run_20260302_153856/ChangShouHua1/fuse.ply
ChangShouHua2,success,/data/fj/04-COLMAP/ChangShouHua2/images,212,gpu1,6456,16,sequential,86,265,5,5997,87,/data/fj/11-COLMAP-fuse/run_20260302_153856/ChangShouHua2/fuse.ply
ChangShouHua3,success,/data/fj/04-COLMAP/ChangShouHua3/input,210,gpu1,10260,13,sequential,66,362,10,9598,211,/data/fj/11-COLMAP-fuse/run_20260302_153856/ChangShouHua3/fuse.ply
DouBanLv1,success,/data/fj/04-COLMAP/DouBanLv1/images,215,gpu1,11475,13,sequential,70,327,8,10895,162,/data/fj/11-COLMAP-fuse/run_20260302_153856/DouBanLv1/fuse.ply
DouBanLv2,success,/data/fj/04-COLMAP/DouBanLv2/images,210,gpu1,5381,15,sequential,75,289,4,4926,71,/data/fj/11-COLMAP-fuse/run_20260302_153856/DouBanLv2/fuse.ply
DouBanLv3,success,/data/fj/04-COLMAP/DouBanLv3/images,207,gpu1,451,25,sequential,79,285,1,58,2,/data/fj/11-COLMAP-fuse/run_20260302_153856/DouBanLv3/fuse.ply
HongZhang,success,/data/fj/04-COLMAP/HongZhang/images,213,gpu1,518,16,sequential,87,398,1,15,1,/data/fj/11-COLMAP-fuse/run_20260302_153856/HongZhang/fuse.ply
KongQueZhuYu,success,/data/fj/04-COLMAP/KongQueZhuYu/images,210,gpu1,12705,29,sequential,84,1392,10,10998,191,/data/fj/11-COLMAP-fuse/run_20260302_153856/KongQueZhuYu/fuse.ply
WanNianQing1,success,/data/fj/04-COLMAP/WanNianQing1/images,213,gpu1,11522,15,sequential,83,502,9,10754,159,/data/fj/11-COLMAP-fuse/run_20260302_153856/WanNianQing1/fuse.ply
WanNianQing2,success,/data/fj/04-COLMAP/WanNianQing2/images,215,gpu1,11217,15,sequential,91,438,8,10510,154,/data/fj/11-COLMAP-fuse/run_20260302_153856/WanNianQing2/fuse.ply
WangWenCao1,success,/data/fj/04-COLMAP/WangWenCao1/images,149,gpu1,6507,18,sequential,32,413,6,5956,82,/data/fj/11-COLMAP-fuse/run_20260302_153856/WangWenCao1/fuse.ply
WangWenCao2,success,/data/fj/04-COLMAP/WangWenCao2/images,210,gpu1,10760,14,sequential,46,1083,7,9466,143,/data/fj/11-COLMAP-fuse/run_20260302_153856/WangWenCao2/fuse.ply
XianKeLai1,success,/data/fj/04-COLMAP/XianKeLai1/images,208,gpu1,11344,26,sequential,72,579,10,10515,142,/data/fj/11-COLMAP-fuse/run_20260302_153856/XianKeLai1/fuse.ply
XianKeLai2,success,/data/fj/04-COLMAP/XianKeLai2/images,208,gpu1,10185,15,sequential,78,570,8,9373,140,/data/fj/11-COLMAP-fuse/run_20260302_153856/XianKeLai2/fuse.ply
XianKeLai3,success,/data/fj/04-COLMAP/XianKeLai3/images,206,gpu1,11525,26,sequential,76,738,11,10522,152,/data/fj/11-COLMAP-fuse/run_20260302_153856/XianKeLai3/fuse.ply
XiangPiShu1,success,/data/fj/04-COLMAP/XiangPiShu1/images,203,gpu1,8722,31,sequential,84,507,8,7973,119,/data/fj/11-COLMAP-fuse/run_20260302_153856/XiangPiShu1/fuse.ply
XiangPiShu2,success,/data/fj/04-COLMAP/XiangPiShu2/images,2,gpu1,58,1,sequential,0,0,1,54,2,/data/fj/11-COLMAP-fuse/run_20260302_153856/XiangPiShu2/fuse.ply
